Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.687435,3.6492882,3.5702846,3.4795413,3.4414783,3.4666483,3.6167402,3.8183053,4.0421042,4.622943,4.6863294
1,2,3.6373477,3.5995193,3.517136,3.43632,3.397857,3.4300933,3.583055,3.7838387,4.005491,4.5870094,4.6522727
1,3,3.5736136,3.542338,3.4552822,3.3848708,3.351086,3.3921807,3.549339,3.7484632,3.9715612,4.5541806,4.6209683
1,4,3.5002708,3.4792695,3.387566,3.3278303,3.3018172,3.3532279,3.5155919,3.7130127,3.939914,4.524095,4.592828
1,5,3.4200878,3.4112759,3.3154173,3.2665653,3.250157,3.3130708,3.481495,3.6775744,3.9097242,4.4958205,4.567206
1,6,3.3346236,3.338888,3.239472,3.2017436,3.1960523,3.2714853,3.446657,3.6419346,3.880231,4.4685154,4.543275
1,7,3.2446756,3.2624106,3.1600096,3.133708,3.1394565,3.2283168,3.4107702,3.6058333,3.850879,4.441599,4.5203614
1,8,3.1506586,3.1820617,3.0771878,3.0626717,3.080379,3.183496,3.3736486,3.5690656,3.8213174,4.4147234,4.498004
1,9,3.0528312,3.0980353,2.9911408,2.9888048,3.0188835,3.137021,3.3352113,3.5315034,3.7913496,4.3877053,4.475919
1,10,2.9514022,3.0105276,2.9020152,2.91227,2.9550714,3.088934,3.2954495,3.4930844,3.7608829,4.360461,4.4539413
1,11,2.8465726,2.9197412,2.8099732,2.833232,2.8890686,3.039304,3.2543988,3.453794,3.7298856,4.332964,4.431985
1,12,2.7385485,2.8258836,2.7151906,2.7518559,2.8210115,2.988216,3.21212,3.4136505,3.6983633,4.305217,4.410007
1,13,2.6275394,2.7291636,2.6178489,2.6683078,2.7510421,2.9357617,3.168686,3.3726902,3.6663384,4.277234,4.387991
1,14,2.5137556,2.629788,2.5181308,2.5827503,2.6793008,2.8820353,3.1241753,3.3309605,3.6338432,4.2490373,4.365932
1,15,2.3974037,2.5279565,2.416216,2.4953408,2.6059241,2.8271308,3.078667,3.2885132,3.6009128,4.2206473,4.343833
1,16,2.2786837,2.4238625,2.3122776,2.406229,2.5310433,2.7711387,3.0322382,3.2454011,3.5675821,4.192085,4.321698
1,17,2.1577878,2.31769,2.206481,2.3155575,2.4547825,2.7141466,2.984964,3.2016768,3.5338852,4.1633677,4.2995334
1,18,2.0348969,2.209612,2.098983,2.2234602,2.3772585,2.6562374,2.936914,3.1573906,3.4998546,4.134513,4.2773438
1,19,1.9101824,2.0997925,1.98993,2.130062,2.2985814,2.5974889,2.8881547,3.1125894,3.46552,4.1055355,4.2551346
1,20,1.7838036,1.9883833,1.879459,2.0354795,2.2188528,2.5379739,2.8387487,3.0673184,3.430909,4.076448,4.2329097
1,21,1.6559091,1.8755265,1.7676972,1.9398199,2.1381674,2.4777603,2.788753,3.0216188,3.396047,4.047262,4.2106714
1,22,1.5266366,1.7613535,1.6547624,1.8431827,2.0566125,2.4169116,2.7382212,2.9755294,3.360958,4.017989,4.1884236
1,23,1.3961132,1.6459854,1.5407629,1.7456592,1.9742687,2.3554857,2.6872025,2.929086,3.325663,3.988637,4.1661677
1,24,1.2644556,1.5295336,1.4257987,1.6473335,1.8912102,2.2935362,2.6357422,2.882321,3.290182,3.9592142,4.1439056
1,25,1.1317708,1.4121006,1.3099608,1.5482821,1.8075048,2.2311127,2.5838823,2.8352647,3.2545323,3.9297287,4.1216383
1,26,0.99815726,1.2937801,1.1933331,1.448575,1.7232144,2.16826,2.5316603,2.7879448,3.218731,3.9001868,4.099367
1,27,0.86370444,1.1746576,1.0759919,1.3482761,1.6383957,2.1050193,2.4791114,2.7403865,3.1827922,3.8705943,4.077093
1,28,0.7284939,1.054811,0.9580066,1.2474434,1.5531,2.0414283,2.4262671,2.6926131,3.1467297,3.8409562,4.0548167
1,29,0.59259987,0.9343114,0.8394406,1.1461296,1.4673743,1.9775212,2.3731565,2.6446452,3.110556,3.8112779,4.032539
1,30,0.45608974,0.8132231,0.720351,1.0443823,1.3812611,1.9133291,2.3198059,2.5965018,3.0742817,3.7815633,4.010259
1,31,0.31902456,0.6916046,0.60079,0.94224524,1.2947989,1.8488803,2.2662387,2.5482008,3.0379171,3.7518163,3.9879785
1,32,0.1814599,0.5695088,0.48080468,0.8397572,1.2080226,1.7842003,2.212477,2.4997575,3.0014715,3.72204,3.965697
1,33,0.043445826,0.44698358,0.3604374,0.7369535,1.1209638,1.7193122,2.1585398,2.4511862,2.9649525,3.6922379,3.943415
1,34,-0.09497237,0.32407212,0.23972702,0.6338661,1.0336511,1.654237,2.104445,2.4024997,2.928368,3.6624122,3.9211326
1,35,-0.23375392,0.20081353,0.118707895,0.5305238,0.94611,1.5889935,2.0502086,2.3537097,2.8917246,3.632566,3.8988497
1,36,-0.3728621,0.07724309,-0.002588272,0.4269526,0.85836387,1.5235989,1.9958445,2.3048263,2.8550282,3.6027007,3.8765666
1,37,-0.51226354,-0.046607494,-0.12413335,0.3231759,0.7704334,1.4580684,1.9413662,2.2558594,2.8182843,3.5728192,3.8542833
1,38,-0.6519282,-0.17070961,-0.24590206,0.21921468,0.6823375,1.392416,1.8867851,2.2068176,2.7814977,3.5429225,3.832
1,39,-0.79182935,-0.2950375,-0.36787152,0.115087986,0.5940933,1.3266542,1.8321118,2.1577082,2.7446728,3.5130124,3.8097167
1,40,-0.9319422,-0.41956806,-0.490021,0.010812759,0.50571585,1.2607942,1.7773558,2.1085382,2.7078135,3.4830904,3.7874334
1,41,-1.0722454,-0.5442805,-0.6123321,-0.09359574,0.41721892,1.1948459,1.7225255,2.0593138,2.6709235,3.4531577,3.76515
1,42,-1.2127192,-0.6691561,-0.7347882,-0.1981237,0.3286147,1.1288185,1.6676285,2.0100408,2.6340058,3.4232154,3.7428665
1,43,-1.3533466,-0.794178,-0.85737395,-0.3027587,0.23991442,1.0627201,1.6126719,1.960724,2.5970633,3.3932645,3.7205832
1,44,-1.4941113,-0.9193311,-0.98007655,-0.40748978,0.15112782,0.9965582,1.5576615,1.911368,2.5600986,3.363306,3.6983
1,45,-1.634999,-1.0446014,-1.1028836,-0.5123069,0.062263966,0.9303391,1.5026033,1.8619769,2.5231142,3.3333404,3.6760168
