Scenario_ID,Month,Date, Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,2026-03-31,3.7081625,3.6958973,3.5704165,3.4637089,3.473303,3.4485173,3.5683413,3.8039873,4.0115085,4.6440573,4.708853
1,2,2026-04-30,3.6926184,3.6599407,3.5414999,3.41425,3.443879,3.3800225,3.5428867,3.744763,3.9949079,4.591955,4.721226
1,3,2026-05-31,3.5909324,3.5946584,3.450026,3.3431993,3.3699124,3.3336623,3.5022016,3.6474588,3.9879298,4.5980544,4.6720695
1,4,2026-06-30,3.5706973,3.5315392,3.4157882,3.309893,3.357441,3.2759597,3.4511564,3.628364,3.9739807,4.6497765,4.6691413
1,5,2026-07-31,3.5779905,3.4557853,3.362161,3.2309349,3.3200023,3.2565014,3.421075,3.6569664,3.926374,4.6419516,4.602776
1,6,2026-08-31,3.4994879,3.354618,3.3069258,3.18133,3.2401142,3.1586475,3.3840923,3.6282682,3.87278,4.6357064,4.5987234
1,7,2026-09-30,3.4547675,3.2731721,3.21903,3.1296647,3.1716566,3.0990982,3.3484147,3.6355085,3.8922362,4.654808,4.5744605
1,8,2026-10-31,3.4000764,3.1745381,3.1484983,3.093833,3.0887477,3.1042151,3.3027327,3.5983686,3.850443,4.650151,4.557895
1,9,2026-11-30,3.3233562,3.1151156,3.0861537,2.987855,2.9897752,3.0625162,3.2194216,3.5607963,3.8258014,4.6260285,4.519099
1,10,2026-12-31,3.222579,3.0199127,2.965924,2.8929956,2.8926148,2.938932,3.183708,3.532315,3.7792675,4.615325,4.5330334
1,11,2027-01-31,3.1522973,2.9301157,2.852737,2.8153849,2.8312104,2.877657,3.1415,3.474499,3.7727284,4.591646,4.4801397
1,12,2027-02-28,3.0304735,2.8044097,2.721118,2.7381191,2.6878603,2.7787967,3.0432167,3.3998353,3.7341049,4.532429,4.4737854
