Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
5.49,5.42,5.25,4.87,4.46,4.27,4.13,4.16,4.17,4.46,4.35
1.83,1.96,2.18,2.32,2.6,2.85,3.35,3.74,4.09,4.83,4.9
0.03,0.04,0.06,0.07,0.2,0.4,0.77,1.08,1.3,1.85,1.92
0.14,0.15,0.19,0.26,0.54,0.81,1.54,2.21,2.86,3.73,4.01
5.01,5.14,5.16,5.08,4.94,4.87,4.82,4.82,4.83,5.02,4.93
0.02,0.06,0.13,0.24,0.77,1.24,2.2,2.86,3.45,4.27,4.49
0.15,0.16,0.22,0.34,0.79,1.28,2.16,2.87,3.44,4.13,4.32
0.02,0.04,0.07,0.11,0.47,0.88,1.62,2.13,2.53,3.08,3.34
1.92,2.2,2.54,2.72,3.05,3.22,3.57,3.89,4.18,4.82,4.83
1.15,1.1,1.07,1.12,1.38,1.76,2.54,3.11,3.6,4.64,4.9
