Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.6088753,3.807985,3.64476,3.5316691,3.4954078,3.7387471,3.8618941,3.9427667,4.1231527,4.6645293,4.6993294
1,2,3.6521153,3.9322767,3.7357886,3.6045976,3.4916515,3.7686794,3.8892045,4.0291667,4.2303705,4.807939,4.786472
1,3,4.2138715,4.122195,3.8097084,3.6118898,3.4114728,3.5340483,3.5801466,3.6799703,3.907422,4.5188417,4.533348
1,4,4.0762935,4.069865,3.8268805,3.58976,3.3857987,3.5460708,3.6070397,3.6682422,3.891626,4.4483933,4.5029154
1,5,4.143248,4.330969,4.1371512,3.964462,3.7917538,3.8733912,3.8284278,3.8510551,4.0215173,4.5930095,4.7061687
1,6,4.246847,4.476357,4.2860484,4.1602144,3.92215,3.9323635,3.895575,3.864945,4.015027,4.5523195,4.6225924
1,7,4.575883,4.620463,4.3793716,4.2188053,3.9228687,3.9540322,3.85029,3.7362409,3.8731835,4.3611336,4.4486814
1,8,4.6332784,4.5463257,4.3207493,4.1727724,3.8555977,3.833778,3.6997652,3.5489178,3.6599176,4.1502047,4.2551026
1,9,4.378957,4.4537563,4.275569,4.1004767,3.7676847,3.7539668,3.6680067,3.5609763,3.6976109,4.2081194,4.355409
1,10,4.306429,4.255268,4.2337513,4.0893936,3.7514105,3.6867518,3.576999,3.4680238,3.6408124,4.1752033,4.3053493
1,11,4.1271753,4.2458453,4.071486,3.8867726,3.474055,3.4297383,3.308224,3.2332764,3.4612782,3.9831777,4.154661
1,12,4.2158136,3.8808773,3.8490295,3.618028,3.046923,3.0471785,2.8533344,2.76643,3.0244718,3.5502913,3.7156353
1,13,3.1455886,3.0553718,2.9777215,2.6583118,2.0028834,1.8702542,1.7884803,1.9455707,2.3923576,3.1848898,3.478372
1,14,2.6140018,2.4331584,2.170835,1.8930105,1.2167883,0.99491787,0.9287126,1.2268934,1.9353552,2.886291,3.2868247
1,15,2.9571319,2.6774788,2.3132749,2.0930672,1.4957117,1.4338369,1.496916,1.8482423,2.4771645,3.5114312,3.7304645
1,16,2.724946,2.572552,2.224707,1.9455225,1.2925677,1.1915069,1.3232794,1.7098935,2.4330287,3.4030986,3.776505
1,17,2.6671944,2.4389944,2.0704718,1.7401628,1.1058633,0.8649018,1.0289233,1.5643101,2.3538237,3.2939973,3.636283
1,18,2.3039875,2.344205,2.0176606,1.7941647,1.2954361,1.3195031,1.6956184,2.2014425,2.9213958,3.8252888,4.061925
1,19,2.401319,2.2880237,1.9727005,1.8168309,1.345984,1.3636875,1.7157457,2.1601949,2.8129482,3.710735,3.9565215
1,20,2.03517,2.1382706,1.7860838,1.5690931,1.0784674,1.0622807,1.4143643,1.8928821,2.6261623,3.5414305,3.8671057
1,21,1.9963219,1.9626845,1.674579,1.5338554,0.99805856,1.0195332,1.3871698,1.8497796,2.6010237,3.5249436,3.871492
1,22,1.8346463,1.702265,1.3747239,1.196991,0.6347525,0.613178,0.9908111,1.529993,2.353458,3.3502705,3.686213
1,23,1.554893,1.318202,0.94565964,0.73707557,0.1307509,0.07356715,0.53991747,1.1431532,2.0765688,3.13286,3.592966
1,24,0.893558,1.0580988,0.7355416,0.517025,-0.045838356,-0.0708344,0.30728436,0.9142332,1.7993963,2.8513153,3.3639958
1,25,1.0494673,0.82149386,0.28651857,-0.12252879,-1.0687938,-1.0269575,-0.67260647,0.04995942,1.0148311,2.114841,2.667489
1,26,0.88133264,0.67144036,0.15589428,-0.24459457,-1.1023116,-1.1927996,-0.49179554,0.22100902,1.1570079,2.3358035,2.7136102
1,27,0.720016,0.57832026,-0.15439224,-0.8213532,-2.0805545,-2.3243551,-1.6325283,-0.52457666,0.70056987,2.1149397,2.5488014
1,28,0.85330534,0.5284803,-0.24839234,-0.93471456,-2.2534165,-2.7768164,-2.3979058,-1.3025546,-0.09055519,1.6537838,2.268374
1,29,0.8690345,0.53979325,-0.3199699,-1.0106485,-2.326507,-2.6981544,-2.235671,-1.3420453,-0.06913519,1.5283065,2.1484118
1,30,0.56230664,0.4319651,-0.42204165,-1.0551612,-2.3327618,-2.5678616,-2.0587115,-1.0703063,0.2456758,1.8376358,2.372324
1,31,0.8226721,0.50347304,-0.32008386,-0.92600465,-2.175531,-2.4620824,-1.8699241,-0.8342552,0.42722797,1.9995623,2.4482853
1,32,0.8937557,0.4773581,-0.43113208,-1.0711081,-2.3567433,-2.6512928,-2.1517072,-1.1171823,0.17770386,1.6928513,2.1714158
1,33,0.6794615,0.46634793,-0.421664,-1.08062,-2.3788047,-2.7508006,-2.2784123,-1.3057585,-0.060082436,1.4993222,2.0494597
1,34,1.0558002,0.70143294,-0.2593701,-0.8835361,-2.1973557,-2.5714736,-1.9879689,-0.90165854,0.30912948,1.814461,2.2888927
1,35,1.243187,0.80947304,-0.16830754,-0.77543235,-2.0966673,-2.540359,-2.1494446,-1.1290479,-0.03772974,1.4153087,1.9995666
1,36,1.1226232,0.78303576,-0.15706253,-0.73178935,-2.0574946,-2.5586953,-2.237711,-1.3138776,-0.1742158,1.3394673,2.032677
1,37,1.0786638,0.78154564,-0.19090056,-0.6830504,-2.01132,-2.4093256,-1.9706497,-0.92690563,0.29219174,1.8577981,2.4874291
1,38,1.3184886,0.81077576,-0.16654634,-0.7021892,-2.0205097,-2.3976107,-1.8774171,-0.7804651,0.37603784,1.9044516,2.4800797
1,39,1.2572596,0.70134354,-0.27494693,-0.8828423,-2.229497,-2.6208525,-2.0737557,-0.9870763,0.2931323,1.8943534,2.5650833
1,40,1.1423721,0.68348265,-0.35005593,-0.9577329,-2.2852426,-2.6656384,-2.1004152,-1.0325937,0.18357825,1.7015004,2.3959138
1,41,1.226079,0.6897135,-0.41647458,-1.0078847,-2.3514643,-2.6170034,-2.0340571,-0.93591213,0.23294377,1.7126334,2.4216344
1,42,1.141649,0.5667436,-0.49158025,-1.1205118,-2.4856982,-2.8089833,-2.2781796,-1.181366,0.056273937,1.636981,2.3503067
1,43,1.0302408,0.49772334,-0.5678861,-1.1870682,-2.523901,-2.8481412,-2.32622,-1.2212143,0.03192377,1.657352,2.4037476
1,44,1.0249395,0.54655194,-0.5599792,-1.1856263,-2.5038748,-2.7192388,-2.0753908,-0.8692508,0.329813,1.9202874,2.6470919
1,45,1.0326638,0.49881363,-0.58397365,-1.2117708,-2.548523,-2.839323,-2.2890024,-1.0843859,0.15223408,1.8106031,2.5793138
1,46,0.94237137,0.42643094,-0.65220046,-1.2468002,-2.5306249,-2.695579,-2.0593643,-0.8897753,0.3508742,2.021169,2.8718162
1,47,0.86108613,0.40420413,-0.658283,-1.2385037,-2.4764237,-2.5831614,-1.7626767,-0.51661825,0.7623203,2.4538822,3.305724
1,48,0.89158607,0.42741728,-0.66524386,-1.1966183,-2.4312706,-2.5366125,-1.7050371,-0.43870878,0.8796723,2.4651387,3.305607
1,49,0.8614428,0.3290646,-0.7369468,-1.2699873,-2.5355697,-2.7014031,-1.9311075,-0.7227721,0.5495813,2.19491,3.146838
1,50,0.7439418,0.2771535,-0.7409432,-1.2562459,-2.4707856,-2.6029453,-1.8215718,-0.59684706,0.70045614,2.3972008,3.3411927
1,51,0.76561475,0.5017381,-0.51412463,-1.0254686,-2.2866735,-2.4706388,-1.7377567,-0.5104418,0.82578945,2.62959,3.5947294
1,52,1.2588782,0.73967147,-0.25858927,-0.8170011,-2.0383735,-2.220817,-1.454495,-0.22886133,1.1426678,2.9047062,3.9032226
1,53,1.2559783,0.80148816,-0.20756602,-0.79757094,-1.9846783,-2.1008139,-1.3634992,-0.06694341,1.3222234,3.084745,4.1212068
1,54,1.2786608,0.7606292,-0.14955807,-0.70787215,-1.9416518,-2.0145392,-1.2470069,0.16076136,1.5136068,3.2766685,4.251974
1,55,1.0976479,0.773262,-0.14322615,-0.6945741,-1.9354091,-2.012391,-1.2430773,0.13599086,1.4757397,3.237982,4.227662
1,56,1.3631022,0.89853644,-0.06952119,-0.6557796,-1.8652921,-1.926106,-1.0330663,0.43658113,1.8036528,3.5139642,4.465586
1,57,1.4052761,0.92770314,-0.038427114,-0.63646674,-1.8638186,-1.9158583,-0.9705477,0.5424292,1.9706907,3.6338155,4.5691347
1,58,1.3674421,0.8611467,-0.04081893,-0.60747075,-1.7498636,-1.7349057,-0.7736163,0.75701547,2.1939301,3.8527093,4.7904577
1,59,1.3044028,0.8991077,-0.008132696,-0.551944,-1.6808228,-1.6569791,-0.6194997,0.9445193,2.395478,3.961622,4.8381367
1,60,1.5557947,1.0885036,0.11791968,-0.406286,-1.5553021,-1.4222345,-0.42232466,1.1157212,2.5438342,4.1123223,5.0400047
2,1,3.6245527,3.6068175,3.5958698,3.3873749,3.314037,3.3863456,3.5857131,3.6482506,3.954467,4.598023,4.7566504
2,2,3.781641,3.77372,3.8145893,3.7243054,3.7239068,3.8480988,4.0662756,4.100478,4.3722754,4.9257646,4.941185
2,3,3.8676977,3.9056756,3.9226854,3.8290045,3.8580728,4.0076694,4.2270246,4.254942,4.5218153,5.0916944,5.080399
2,4,4.0806704,3.978775,3.973009,3.7654886,3.7139559,3.8217185,4.0437875,4.09668,4.3543797,4.949233,5.0059743
2,5,3.9077394,3.898241,3.9393847,3.7948675,3.7874615,3.9067788,4.1482143,4.2590857,4.569409,5.1664877,5.208178
2,6,4.0020127,3.912772,3.927985,3.806735,3.8118827,3.9946244,4.3361664,4.531446,4.903514,5.4937778,5.4831676
2,7,3.940882,3.8154683,3.8786254,3.7561967,3.8076422,4.027703,4.4030304,4.515929,4.8377333,5.378741,5.3673563
2,8,3.5333903,3.651156,3.7489812,3.6594048,3.7281983,3.9372537,4.336231,4.551237,4.904938,5.440208,5.4306912
2,9,3.538352,3.5579536,3.6527042,3.5510416,3.6009345,3.8762362,4.331185,4.5619526,4.9010534,5.3650494,5.308618
2,10,3.5548015,3.4986212,3.5745733,3.445198,3.4406605,3.6477342,4.0315847,4.2412834,4.6902,5.205296,5.1696653
2,11,3.0105426,3.1220038,3.247037,3.1046436,3.1462889,3.4390824,3.8742971,4.122604,4.5466514,5.0948334,5.061085
2,12,2.8603113,2.717575,2.6034136,2.3222013,2.1643734,2.5652995,3.1856694,3.7571154,4.2724757,4.887108,4.962933
2,13,3.1004853,2.7162328,2.41852,1.9212624,1.603266,1.7654922,2.3259554,3.077668,3.889976,4.690214,4.8077073
2,14,2.9559598,2.6654277,2.4313962,1.8082019,1.4232368,1.6387134,2.0424275,2.619882,3.4101567,4.3366613,4.5278487
2,15,3.0256927,2.7401493,2.582746,1.9979552,1.6327012,1.8962578,2.2752094,2.692185,3.409191,4.2842054,4.482674
2,16,3.1177292,2.831613,2.7001314,2.194258,1.9344708,2.395345,2.9246318,3.3645654,4.0545225,4.9264097,5.042849
2,17,3.1435723,2.8830209,2.7190495,2.1888514,1.9009793,2.2756386,2.6949553,3.1181288,3.7943935,4.716525,4.856621
2,18,3.126379,2.890676,2.7290552,2.1667318,1.8847781,2.2567017,2.765431,3.245506,3.95708,4.941167,5.1145115
