Start_Curve_ID,Model,Maturity,Mean_Volatility
1,Diffusion,1M,0.24514580928900753
1,Diffusion,3M,0.19517149233527203
1,Diffusion,6M,0.1885647657421802
1,Diffusion,1Y,0.19387601862450451
1,Diffusion,2Y,0.2290378515315703
1,Diffusion,3Y,0.25169071147433614
1,Diffusion,5Y,0.2678029044060138
1,Diffusion,7Y,0.2610532672448106
1,Diffusion,10Y,0.24499626649092235
1,Diffusion,20Y,0.2317374130521029
1,Diffusion,30Y,0.22441244653551023
1,HJM-PCA,1M,0.22689170257558988
1,HJM-PCA,3M,0.19339822058454242
1,HJM-PCA,6M,0.18261693592743256
1,HJM-PCA,1Y,0.1810358938526167
1,HJM-PCA,2Y,0.21688612723616507
1,HJM-PCA,3Y,0.24136612550998454
1,HJM-PCA,5Y,0.257472582385497
1,HJM-PCA,7Y,0.2568434191436972
1,HJM-PCA,10Y,0.24776349422998437
1,HJM-PCA,20Y,0.23259248879040167
1,HJM-PCA,30Y,0.219639108746009
1,VAE,1M,0.22038630360625952
1,VAE,3M,0.16093190980566824
1,VAE,6M,0.15449482920122673
1,VAE,1Y,0.14755025911071548
1,VAE,2Y,0.15903043418507484
1,VAE,3Y,0.16952270087357818
1,VAE,5Y,0.1794322278904384
1,VAE,7Y,0.1802139355060969
1,VAE,10Y,0.18210565734715164
1,VAE,20Y,0.180901562397362
1,VAE,30Y,0.1783626292014428
2,Diffusion,1M,0.2432172930562475
2,Diffusion,3M,0.19220438741445617
2,Diffusion,6M,0.18950704087155168
2,Diffusion,1Y,0.19914005708651686
2,Diffusion,2Y,0.24279337103493517
2,Diffusion,3Y,0.2692584938048482
2,Diffusion,5Y,0.291500243832173
2,Diffusion,7Y,0.2884989834144188
2,Diffusion,10Y,0.2704479900498894
2,Diffusion,20Y,0.2488474806140042
2,Diffusion,30Y,0.23167079358195233
2,HJM-PCA,1M,0.23073882387039032
2,HJM-PCA,3M,0.1946031570633725
2,HJM-PCA,6M,0.18301390630395212
2,HJM-PCA,1Y,0.182005294433503
2,HJM-PCA,2Y,0.21997778258710543
2,HJM-PCA,3Y,0.24618781799926293
2,HJM-PCA,5Y,0.2644572544002396
2,HJM-PCA,7Y,0.2642283591178563
2,HJM-PCA,10Y,0.2548413467468097
2,HJM-PCA,20Y,0.23871066794300705
2,HJM-PCA,30Y,0.22491017437595012
2,VAE,1M,0.16119959396085234
2,VAE,3M,0.11864797950334942
2,VAE,6M,0.11150414900794545
2,VAE,1Y,0.11079024638253195
2,VAE,2Y,0.13322854132667244
2,VAE,3Y,0.1520781594784477
2,VAE,5Y,0.16939982846605686
2,VAE,7Y,0.17235736922617875
2,VAE,10Y,0.1690427093224289
2,VAE,20Y,0.16361594497239246
2,VAE,30Y,0.15886901689040311
3,Diffusion,1M,0.08550462330146742
3,Diffusion,3M,0.06793944830840212
3,Diffusion,6M,0.07364269939213304
3,Diffusion,1Y,0.08630257219081354
3,Diffusion,2Y,0.11451850310000448
3,Diffusion,3Y,0.1354991477771212
3,Diffusion,5Y,0.16119262382163696
3,Diffusion,7Y,0.1755355779517512
3,Diffusion,10Y,0.17274259360474986
3,Diffusion,20Y,0.17347937149257017
3,Diffusion,30Y,0.16325182398641983
