Start_Curve_ID,Model,Mean_Volatility
1,Diffusion,0.24514580928900753
1,HJM-PCA,0.22689170257558988
1,VAE,0.22038630360625952
2,Diffusion,0.2432172930562475
2,HJM-PCA,0.23073882387039032
2,VAE,0.16119959396085234
3,Diffusion,0.08550462330146742
3,HJM-PCA,0.22182692149049696
3,VAE,0.1074196362932737
4,Diffusion,0.08819855868198892
4,HJM-PCA,0.2265247610087992
4,VAE,0.11562167434132127
5,Diffusion,0.24332026113067134
5,HJM-PCA,0.22591013508645924
5,VAE,0.22857175436795368
6,Diffusion,0.11057478063747228
6,HJM-PCA,0.2252304746085434
6,VAE,0.1368303545227147
7,Diffusion,0.12065763519863479
7,HJM-PCA,0.21776126817575653
7,VAE,0.12763569856939314
8,Diffusion,0.09192050671156314
8,HJM-PCA,0.22910944125816254
8,VAE,0.09280669580870277
9,Diffusion,0.24608836633118622
9,HJM-PCA,0.2274990676768339
9,VAE,0.1582067687382825
10,Diffusion,0.17219910701623126
10,HJM-PCA,0.2317810612103694
10,VAE,0.13912944078910072
