Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.7835002,3.743076,3.6254811,3.52853,3.4068003,3.3917062,3.5203767,3.696841,3.9803865,4.6640625,4.8419604
1,2,3.700537,3.6253767,3.490849,3.3994796,3.3073578,3.3195882,3.460084,3.6481662,3.9303486,4.6225753,4.789385
1,3,3.671449,3.5891545,3.4537416,3.332181,3.2247767,3.2512827,3.433836,3.6685314,3.9863095,4.7076817,4.8397384
1,4,3.427263,3.4235024,3.3240824,3.246225,3.1926093,3.252479,3.426275,3.66103,3.9729826,4.713242,4.8394303
1,5,3.2882657,3.2667904,3.1487634,3.0859287,3.0571537,3.0909004,3.24734,3.4797406,3.8121114,4.621784,4.7443776
1,6,3.2541745,3.2342122,3.1012347,3.0600066,3.047198,3.11879,3.2940865,3.5288227,3.852706,4.632537,4.680041
1,7,3.1877449,3.2058823,3.0897331,3.0656486,3.0495598,3.1128926,3.2705727,3.5030074,3.8101592,4.5726204,4.664775
1,8,3.3184783,3.2238963,3.081787,3.063839,3.0514278,3.1404893,3.2996187,3.517086,3.8172164,4.5582824,4.618156
1,9,3.142437,3.2087164,3.136298,3.144088,3.1263344,3.181053,3.3383307,3.5580542,3.8471742,4.578786,4.6695642
1,10,3.201662,3.1751034,3.1385343,3.1432395,3.0976622,3.1289752,3.2574873,3.4820468,3.7550986,4.4535775,4.5072837
1,11,3.1713183,3.1058688,3.0494952,3.0563045,3.0011346,3.0021431,3.1306505,3.37669,3.6837225,4.3349724,4.353702
1,12,2.8489876,2.8713408,2.8995318,2.8934155,2.8268247,2.8316357,2.9991558,3.2687454,3.593741,4.2166753,4.176791
1,13,2.6334777,2.6915386,2.7108717,2.7381144,2.6578028,2.659056,2.8815122,3.1974318,3.5769658,4.199976,4.084404
1,14,2.5367653,2.462491,2.4725003,2.4580545,2.368309,2.4277203,2.7223296,3.1012027,3.5207648,4.1827345,4.055826
1,15,2.5211415,2.4389532,2.4007092,2.350014,2.2457514,2.3133876,2.5925477,2.9792857,3.3723419,4.031393,3.9089513
1,16,2.2656488,2.2800841,2.2435503,2.2293859,2.167851,2.2595387,2.5482469,2.9230964,3.3151646,3.9873638,3.871932
1,17,2.3202133,2.2934136,2.2440562,2.2217107,2.164874,2.2529476,2.54204,2.9227016,3.319557,4.0537105,3.9778314
1,18,2.1601114,2.135061,2.1116433,2.0863965,2.039315,2.1652503,2.4800425,2.882848,3.2989206,4.0127616,3.935806
1,19,2.0938773,2.125009,2.060587,2.0267363,1.9629258,2.096918,2.4456398,2.8800359,3.2984028,4.059353,4.0157204
1,20,2.0621908,2.0234146,1.9375303,1.9307883,1.896175,2.0232503,2.4007008,2.839829,3.28392,4.095006,4.1151204
1,21,1.8973466,1.9105659,1.8822677,1.945071,1.9952568,2.1768742,2.5918832,3.0432162,3.467779,4.206171,4.2439804
1,22,1.9058369,1.9165887,1.8713944,1.9554096,2.0245297,2.2528205,2.713887,3.1781228,3.6186092,4.310525,4.3204885
1,23,1.9022883,1.8396331,1.7976836,1.8911567,1.9484341,2.1805472,2.641271,3.1024225,3.539319,4.2280517,4.259567
1,24,1.8577229,1.8094366,1.7751566,1.8192595,1.8781167,2.1172109,2.549555,2.9715285,3.3666863,4.045106,4.1562805
1,25,1.7124087,1.7287863,1.6691449,1.7220997,1.7598902,2.0206456,2.5276055,3.003787,3.4751594,4.128374,4.165128
1,26,1.5730824,1.523267,1.4588695,1.5197349,1.5111587,1.805645,2.389068,2.9456239,3.4848404,4.194589,4.302796
1,27,1.4718714,1.4310358,1.3509703,1.3986313,1.4206688,1.7123315,2.3051674,2.8736608,3.4150186,4.1545506,4.2575464
1,28,1.2597847,1.2840514,1.2079284,1.272749,1.3822234,1.7286286,2.3484225,2.921818,3.4606276,4.192701,4.294693
1,29,1.2362742,1.2318726,1.1581028,1.24861,1.383034,1.7589574,2.4522302,3.0550034,3.6051788,4.355771,4.4782453
1,30,1.1716871,1.1930704,1.0767434,1.1629219,1.309993,1.7025132,2.4028382,2.9801967,3.5550523,4.342303,4.5365067
1,31,1.2007077,1.1831222,1.0738027,1.1665688,1.3508527,1.7567104,2.4210567,2.9725723,3.5003033,4.3090186,4.5185976
1,32,1.1439509,1.1212544,1.003751,1.101717,1.2830522,1.7035575,2.3843696,2.9549656,3.500818,4.343758,4.590067
1,33,1.0959759,1.0558064,0.969944,1.0667527,1.2040107,1.6094534,2.2894144,2.8608017,3.3993175,4.2528768,4.5632763
1,34,0.97702193,0.9648042,0.8773134,0.9816258,1.1070883,1.4856133,2.1883564,2.7854037,3.3450062,4.199135,4.513114
1,35,0.82605624,0.78869224,0.6966319,0.8053355,0.922179,1.2966738,2.0240974,2.647118,3.2323556,4.123001,4.4130983
1,36,0.69946074,0.72000647,0.6190305,0.70442367,0.7987838,1.1592073,1.9009866,2.5115826,3.102289,4.0086308,4.3171215
1,37,0.5069785,0.55215144,0.4449458,0.54318976,0.67786646,1.0841651,1.8768,2.5094113,3.1570134,4.0638514,4.363448
1,38,0.44382071,0.47071743,0.39305687,0.48640633,0.60915375,1.0638943,1.8939174,2.577737,3.260652,4.2275167,4.539414
1,39,0.35260415,0.39286065,0.34609032,0.4590373,0.6046119,1.0895748,1.9438529,2.6332135,3.3099093,4.286491,4.557882
1,40,0.33682728,0.35810375,0.31693387,0.4467759,0.625263,1.1276734,1.9769815,2.637805,3.2963626,4.2973495,4.5808992
1,41,0.3970971,0.424834,0.36047482,0.5136421,0.7168062,1.2302313,2.0581372,2.7262967,3.3477924,4.3320856,4.609608
1,42,0.43323112,0.47046256,0.39384913,0.5223403,0.74818087,1.2498951,2.0862856,2.723152,3.316176,4.2657743,4.557771
1,43,0.34132957,0.34564686,0.31527758,0.47757912,0.71031404,1.2060401,2.0300794,2.6871157,3.3001459,4.252939,4.5656595
1,44,0.32123828,0.33203006,0.2717514,0.41657424,0.6253729,1.1042078,1.9349443,2.6132379,3.2489824,4.1677036,4.469289
1,45,0.21868849,0.22520065,0.1774559,0.31981897,0.4848554,0.92405534,1.7306418,2.4215827,3.0517232,3.9649403,4.2912326
1,46,0.15130806,0.19152832,0.14065003,0.29334092,0.42996502,0.8484175,1.6347212,2.3394575,2.9814045,3.8650193,4.142605
1,47,0.13272858,0.11715174,0.08104253,0.23471332,0.35110188,0.73265696,1.4824913,2.1637812,2.8163095,3.7112765,4.032685
1,48,0.025877476,0.08827162,0.020083904,0.1668675,0.27134013,0.65327525,1.365067,2.0261374,2.6406393,3.5131183,3.8284101
1,49,0.05691123,0.050761938,-0.050207615,0.11264634,0.23836803,0.6170502,1.3069293,1.9687119,2.5839202,3.4851744,3.805287
1,50,0.07029772,0.089357376,-0.0138037205,0.12128353,0.25047612,0.6127367,1.3027005,1.9522411,2.5800238,3.497438,3.88283
1,51,0.16193652,0.13237429,0.029456139,0.18656158,0.36359572,0.74620295,1.4291844,2.065627,2.6540496,3.55159,3.9542427
1,52,0.24562216,0.24654436,0.16195202,0.3441949,0.52800226,0.8983896,1.5869234,2.1994097,2.7659888,3.659544,4.093971
1,53,0.2654307,0.28873563,0.20516181,0.34845066,0.48844314,0.827806,1.5004601,2.1086168,2.6769583,3.5870328,4.051829
1,54,0.36283374,0.347023,0.23821115,0.37624288,0.5441778,0.8985317,1.5691633,2.1543527,2.7018664,3.5541239,4.023996
1,55,0.34616828,0.31040692,0.20690346,0.3416834,0.47020888,0.8292906,1.5066574,2.0956168,2.6451893,3.5582223,4.0308337
1,56,0.27809215,0.2787366,0.23140764,0.38707733,0.47628212,0.7950969,1.4074287,1.9641246,2.49783,3.42165,3.9187617
1,57,0.26649642,0.30466986,0.2589264,0.41695642,0.49691725,0.7796302,1.3374462,1.8589643,2.34988,3.2395291,3.6940126
1,58,0.42330337,0.4277575,0.35038424,0.4669056,0.50972915,0.77351785,1.312856,1.8209789,2.3038387,3.1943312,3.6430883
1,59,0.47770953,0.43778706,0.36283183,0.4658587,0.4529035,0.67561865,1.1143558,1.6051819,2.1112373,3.1176882,3.6255422
1,60,0.5159116,0.49904513,0.403934,0.509578,0.47176838,0.6778581,1.0595345,1.499145,1.9809811,2.9993846,3.5253136
2,1,3.782586,3.7045214,3.6943295,3.7278807,3.6818233,3.6587772,3.7847037,3.9704988,4.2694225,4.9017916,4.998998
2,2,3.7670536,3.7354672,3.7372756,3.7586942,3.7180176,3.7114377,3.8320732,4.0076833,4.3250394,4.922345,4.957675
2,3,3.954413,3.8702598,3.8692112,3.8660073,3.8151455,3.8036165,3.938102,4.0650363,4.409504,4.980302,4.965781
2,4,3.9266913,3.8615608,3.914736,3.9847379,3.9889941,4.0017157,4.2088842,4.326276,4.651477,5.1602545,5.1810727
2,5,3.985853,3.992565,4.0399117,4.046349,4.033905,4.0481796,4.245734,4.3689885,4.6644273,5.1094804,5.070544
2,6,3.8918793,3.816176,3.8523242,3.8781397,3.8718548,3.891244,4.1191006,4.264245,4.5980496,5.0413275,4.9950743
2,7,3.806175,3.6880438,3.688981,3.6848109,3.6018386,3.6188664,3.8524995,4.014119,4.368285,4.873597,4.879807
2,8,3.8952513,3.7067952,3.7244513,3.704512,3.6036348,3.6146421,3.7989151,3.9821944,4.372087,4.917752,4.8634944
2,9,3.65657,3.6835978,3.7478492,3.7943478,3.7420723,3.7676935,3.925243,4.067746,4.405506,4.8829165,4.8079815
2,10,3.9435415,3.7904768,3.793091,3.7853296,3.7036057,3.7064452,3.8746374,4.000976,4.3398385,4.8709364,4.8208823
2,11,3.9852524,3.8561504,3.8124633,3.8104696,3.752446,3.7713199,3.945034,4.0353723,4.3753204,4.9056873,4.8698797
2,12,3.7503374,3.7148745,3.7305548,3.7392213,3.6812904,3.6690266,3.805116,3.8843117,4.2721834,4.902059,4.900169
2,13,3.895318,3.851063,3.8172376,3.803335,3.7777724,3.8060043,3.9394774,3.996516,4.3191104,4.883135,4.9218564
2,14,3.9195256,3.6695082,3.6452265,3.6038055,3.5634542,3.60291,3.7842867,3.9022887,4.2546487,4.781387,4.82416
2,15,3.6597462,3.5880668,3.552936,3.535404,3.4687963,3.498717,3.7311687,3.923887,4.2944646,4.7793207,4.7087164
2,16,3.261839,3.3327034,3.2796109,3.2994666,3.2459323,3.2800646,3.45712,3.6298645,4.023971,4.6014123,4.56135
2,17,3.5904353,3.4057627,3.2689478,3.2288194,3.2181127,3.3029237,3.503507,3.628578,3.9798238,4.570578,4.4989715
2,18,3.3631601,3.2618499,3.133886,3.1718974,3.171101,3.2358685,3.4640036,3.627621,4.003307,4.660036,4.572626
2,19,3.308412,3.3698359,3.2863119,3.3012733,3.293395,3.3849773,3.622925,3.7870195,4.154914,4.777741,4.6819196
2,20,3.5131912,3.3681595,3.288382,3.3548763,3.3742492,3.4265094,3.6006894,3.7341282,4.086599,4.7856445,4.7561603
2,21,3.3079429,3.2631083,3.2119603,3.237142,3.2351608,3.3406966,3.611008,3.8173335,4.2263947,4.9218245,4.9048147
2,22,3.3493686,3.3682292,3.2621567,3.2809398,3.313664,3.4396062,3.7010162,3.9252656,4.2933397,4.916371,4.838215
2,23,3.138427,3.0458148,2.9767156,3.0241024,3.0931444,3.3042235,3.6007054,3.8372817,4.212146,4.8353257,4.7457104
2,24,2.9995468,2.8922346,2.8196363,2.856349,2.9045074,3.13658,3.5080671,3.7946463,4.2133293,4.870038,4.798734
