DATE,Yield_1M,Yield_3M,Yield_6M,Yield_1Y,Yield_2Y,Yield_3Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
2002-01-02,1.7225606196444734,1.7324746157305182,1.8414961501826155,2.2285,3.2136,3.8874,4.6963,5.189,5.6437,6.0655,5.8842
2002-01-03,1.7225606196444734,1.7225606196445615,1.8117688976692266,2.1837,3.1773,3.8461,4.6478,5.1396,5.5979,6.0382,5.867
2002-01-04,1.7126461320975204,1.712646132097579,1.8117688976692266,2.1942,3.1862,3.8594,4.6721,5.1724,5.6385,6.08,5.898
2002-01-07,1.6928156824258207,1.6729832663255377,1.7622136557099999,2.0932,3.0756,3.7542,4.5665,5.0612,5.5219,5.9772,5.8229
2002-01-08,1.6928156824258207,1.6729832663255377,1.7622136557099999,2.0915,3.0712,3.7525,4.5675,5.0636,5.5263,5.9889,5.8399
2002-01-09,1.6729832663255344,1.6729832663255377,1.7622136557099999,2.0695,3.0379,3.7291,4.5587,5.059,5.5215,5.9768,5.8264
2002-01-10,1.653148883406488,1.6729832663255377,1.7423881204043135,2.0207,2.9481,3.6201,4.4348,4.9318,5.3963,5.8665,5.7229
2002-01-11,1.6134742155517534,1.573791675739019,1.6134742155517494,1.8855,2.7831,3.4724,4.3293,4.8536,5.3424,5.8327,5.6785
2002-01-14,1.6134742155517534,1.573791675739019,1.6233936203895325,1.9119,2.8006,3.4748,4.3236,4.8527,5.3514,5.8504,5.6804
2002-01-15,1.633312533278682,1.5936339298353697,1.6233936203895325,1.9154,2.8044,3.4714,4.2983,4.8092,5.2911,5.7911,5.6502
2002-01-16,1.6134742155517534,1.603554318716612,1.6432309542681058,1.965,2.8461,3.4953,4.3072,4.8165,5.3021,5.8109,5.6657
2002-01-17,1.593633929835379,1.6333125332786869,1.7225606196445364,2.0766,2.9684,3.6202,4.4254,4.922,5.3891,5.8662,5.7222
2002-01-18,1.5837130488590343,1.6134742155517485,1.7027311530409457,2.0385,2.9204,3.5722,4.3747,4.8676,5.3307,5.8095,5.6752
2002-01-22,1.6630663207428238,1.692815682425865,1.7622136557099999,2.0862,2.9746,3.6163,4.4078,4.8989,5.3631,5.8401,5.6963
2002-01-23,1.6928156824258207,1.7027311530409568,1.772125686439289,2.1447,3.0516,3.695,4.4924,4.9919,5.4649,5.9388,5.7737
2002-01-24,1.6828997202036542,1.712646132097579,1.8117688976692266,2.2048,3.1241,3.7538,4.5229,5.0023,5.4564,5.9172,5.7665
2002-01-25,1.6828997202036542,1.712646132097579,1.8216784727982,2.24,3.1598,3.798,4.572,5.045,5.4854,5.9175,5.7663
2002-01-28,1.70273115304094,1.7523011337145238,1.8712189848049965,2.2473,3.1604,3.808,4.5915,5.0635,5.4971,5.9112,5.7589
