Start_Curve_ID,Model,Mean_Volatility
1,Diffusion,0.23927079502384846
1,HJM-PCA,0.22512871784688132
1,VAE,0.1534022051800952
2,Diffusion,0.2615003333163243
2,HJM-PCA,0.23159139510713964
2,VAE,0.17165863011265078
3,Diffusion,0.08157206214605106
3,HJM-PCA,0.22497930256476897
3,VAE,0.09246640172235997
4,Diffusion,0.09073144328983315
4,HJM-PCA,0.2267130638673549
4,VAE,0.1012787386289693
5,Diffusion,0.11863493186732146
5,HJM-PCA,0.22542639833821373
5,VAE,0.11262594568806059
6,Diffusion,0.08575360664754292
6,HJM-PCA,0.2249321103421436
6,VAE,0.09822780081446585
7,Diffusion,0.30002617076595023
7,HJM-PCA,0.21759509568382412
7,VAE,0.21955468900293532
8,Diffusion,0.2832112891431366
8,HJM-PCA,0.22914081752907883
8,VAE,0.19078406514371773
9,Diffusion,0.28579106072297755
9,HJM-PCA,0.22731222096379428
9,VAE,0.18503097998957432
10,Diffusion,0.28814271784592876
10,HJM-PCA,0.23231772978871135
10,VAE,0.1773431925985816
