Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.50364,3.557242,3.5133133,3.3912594,3.3925197,3.403573,3.5609388,3.7377954,3.942805,4.586153,4.618815
1,2,3.5141876,3.594554,3.5785384,3.4752781,3.4025502,3.4576752,3.6159394,3.778741,4.003882,4.6663885,4.729672
1,3,3.707164,3.684411,3.6041126,3.462502,3.377395,3.4280784,3.586827,3.7349975,3.9934554,4.6060753,4.66393
1,4,3.5569453,3.5830116,3.4807825,3.3139956,3.2747505,3.3073735,3.4690413,3.6167254,3.8436995,4.5439672,4.589175
1,5,3.589182,3.6761382,3.5589783,3.402903,3.329145,3.3699684,3.5782855,3.693652,3.9088316,4.6324387,4.622955
1,6,3.6066763,3.5958252,3.4660747,3.3737347,3.3453145,3.4241304,3.6663318,3.7171264,3.9235733,4.6364784,4.655589
1,7,3.5545783,3.586602,3.5090675,3.4288242,3.352877,3.4589987,3.771004,3.8633375,4.066575,4.7643504,4.806559
1,8,3.4337773,3.5973768,3.4921894,3.4493837,3.395216,3.490683,3.7981622,3.877886,4.12661,4.8024106,4.8117824
1,9,3.3873096,3.4567,3.3600311,3.3538518,3.2990549,3.379216,3.5975258,3.7230542,3.9715164,4.60808,4.685154
1,10,3.323632,3.5177863,3.395104,3.3837852,3.3504446,3.392194,3.6625223,3.7772386,4.026182,4.675725,4.7297993
1,11,3.1562672,3.459875,3.3989413,3.3783288,3.336507,3.3455508,3.5853925,3.7429388,4.0074377,4.624254,4.721963
1,12,3.2605128,3.4005594,3.3478956,3.3481672,3.2665927,3.268232,3.4639382,3.6482468,3.920271,4.5569744,4.633137
1,13,3.0379102,3.3139725,3.2842786,3.2978048,3.1869404,3.2321906,3.435917,3.6167443,3.911706,4.5151544,4.642188
1,14,2.8988266,3.1845431,3.1924548,3.2052157,3.0861192,3.119888,3.3770854,3.5488153,3.887522,4.4715014,4.5413313
1,15,2.8370461,3.0088625,3.0299177,3.0039241,2.9404857,2.9290037,3.218728,3.402398,3.785581,4.434087,4.485158
1,16,2.4930713,2.7958071,2.877708,2.7855563,2.70506,2.6474397,3.0135603,3.2073765,3.5916183,4.298402,4.325089
1,17,2.2205577,2.6387587,2.7338142,2.6448853,2.694851,2.5679188,2.9835072,3.2292705,3.580256,4.225371,4.304913
1,18,2.1714492,2.4314938,2.4974113,2.4134293,2.4025025,2.400728,2.8001578,3.023254,3.497106,4.21208,4.2584248
1,19,1.9116566,2.2690592,2.395812,2.2888627,2.2641113,2.2663445,2.7167513,2.936544,3.4270062,4.149362,4.1742
1,20,1.674798,2.1178722,2.2218704,2.1643705,2.210062,2.1794786,2.6137247,2.8465638,3.423411,4.133829,4.1016736
1,21,1.6695032,2.0672898,2.1069996,2.1215718,2.2098808,2.1953232,2.6170309,2.8838093,3.4841115,4.2810273,4.1880627
1,22,1.5343297,1.9358225,2.0211713,2.0690308,2.2057214,2.2017345,2.7038536,2.9460723,3.5490427,4.3303375,4.2589874
1,23,1.371916,1.8741233,1.9819461,2.050559,2.2395344,2.1998422,2.7358441,2.932918,3.5728488,4.402621,4.3091607
1,24,1.3313706,1.7732904,1.8337067,1.9511302,2.2060213,2.167676,2.7410684,2.9782195,3.5669427,4.3963,4.346816
1,25,1.2064016,1.6584768,1.7575518,1.8438011,2.0869493,2.1134105,2.7199223,2.9434903,3.5228007,4.3561254,4.2831683
1,26,1.0527539,1.492995,1.6152188,1.6845154,1.991518,2.0259712,2.7089958,2.9779263,3.5279996,4.3787365,4.236326
1,27,0.8858247,1.3399868,1.4270496,1.5093224,1.8338464,1.9289615,2.6530082,2.9753222,3.5593262,4.447485,4.3333626
1,28,0.7638159,1.2780256,1.3964965,1.4186904,1.7300093,1.8111072,2.4943519,2.8680637,3.430264,4.288494,4.1965685
