Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.5055418,3.5891716,3.5356686,3.3981586,3.2832851,3.423596,3.656327,3.6215677,4.044813,4.529499,4.5313606
1,2,3.3279634,3.3926275,3.4109654,3.3251798,3.186569,3.3174295,3.643067,3.4792795,3.8367445,4.4254155,4.361544
1,3,2.8694901,3.1517506,3.2783551,3.2114768,3.096737,3.3325775,3.6535184,3.42571,3.731656,4.311353,4.162298
1,4,2.675672,2.9930763,3.1387897,3.0536294,2.8844347,3.1916037,3.4462466,3.2825313,3.6550024,4.30109,4.0841546
1,5,2.8864024,3.068443,3.236244,3.1687827,2.9448426,3.2705102,3.4042943,3.229578,3.5460122,4.22549,3.957065
1,6,2.8761904,3.0709934,3.3402603,3.2697582,3.1191123,3.4098642,3.4870074,3.2932782,3.5746171,4.2284217,3.9291718
1,7,2.9313283,2.9970431,3.233678,3.0915062,2.9238968,3.2725027,3.249477,3.0988443,3.3830428,4.1430984,3.7601714
1,8,2.8656254,2.840335,3.1447477,3.0577493,2.9397802,3.293309,3.261516,3.1924837,3.4909015,4.3492565,3.9779415
1,9,2.7688718,2.8398695,3.1117492,3.046548,2.9301178,3.3489692,3.3572397,3.4577456,3.7401466,4.565342,4.2016664
1,10,2.8913784,2.975346,3.1376297,3.0717154,2.9223137,3.2012398,3.2967298,3.3192182,3.6111622,4.402991,4.101654
1,11,2.8854399,2.9816475,3.1942062,3.1572978,2.984498,3.283052,3.4132621,3.3554065,3.5909786,4.4063168,4.102046
1,12,2.6573148,2.8595212,3.0873823,3.0523553,2.840614,3.191659,3.2117708,3.2013454,3.371295,4.137309,3.8026183
1,13,2.788755,2.8420649,3.023419,3.0173104,2.7558408,3.0555766,2.9955666,2.9439225,3.077226,3.841506,3.5664978
1,14,2.896916,2.6652265,2.972894,2.9645233,2.6305735,3.000899,2.9276097,2.902399,3.044401,3.839159,3.58558
1,15,2.938591,2.6667833,3.0536227,2.97069,2.6387086,3.0049624,2.9288418,3.0115592,3.1281137,3.906968,3.6298199
1,16,2.667373,2.4568295,2.8716562,2.8410506,2.5409536,2.9610088,2.7743735,2.8538084,3.0033524,3.824386,3.5326304
1,17,2.609093,2.2881866,2.7566435,2.7147918,2.3698316,2.753261,2.4956803,2.6233096,2.7912347,3.5905375,3.4019256
1,18,2.3080018,2.1225486,2.652132,2.5272503,2.10806,2.4061902,2.1990504,2.5414577,2.7016954,3.5044608,3.4299688
1,19,2.4308238,2.1244998,2.6684492,2.4637132,2.1478333,2.5586615,2.223217,2.702987,2.7823792,3.5315077,3.459235
1,20,2.3295999,2.0789783,2.5559587,2.318721,2.1085052,2.4842749,2.2299728,2.706377,2.67732,3.5167642,3.3505538
1,21,2.1375866,1.8738531,2.3862882,2.201921,1.817735,2.1904233,1.742136,2.1960468,2.337195,3.113723,3.1448817
1,22,2.127222,1.802931,2.3020468,1.9739379,1.5873265,1.9683955,1.4862525,1.9317087,2.101734,2.91368,3.1462755
1,23,1.7169023,1.4484355,1.9234629,1.5694885,1.23633,1.7676557,1.3515706,1.8063202,2.0392377,2.8361394,3.1699533
1,24,1.6436069,1.3595011,1.8861533,1.6160045,1.2942028,1.7812155,1.443263,1.9262731,2.132919,2.9080892,3.17817
1,25,1.513236,1.2846701,1.9011649,1.6775938,1.373615,1.9313803,1.5320935,2.0005755,2.232986,2.8830304,3.2035487
1,26,1.3607342,1.1477549,1.6872725,1.456408,1.1152132,1.680025,1.3321412,1.7315922,1.9785857,2.6195152,3.0653138
1,27,1.3948934,1.0270834,1.613202,1.3969345,1.0168743,1.4731152,1.1089833,1.4984715,1.7724271,2.306613,2.7854505
1,28,1.5071852,1.1002057,1.6427013,1.4153516,1.0568025,1.4285059,0.9611583,1.3517807,1.6159487,2.2238615,2.6869211
1,29,1.7010841,1.147219,1.6042807,1.372447,0.960675,1.2792072,0.8044987,1.2799895,1.5352249,2.1613588,2.701212
1,30,1.741617,1.1517458,1.6148474,1.4278011,0.9547925,1.2559285,0.70058966,1.2502086,1.5505807,2.1751869,2.7534418
