Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.938694,3.828867,3.8112109,3.6748128,3.5477219,3.4924247,3.800887,3.8804934,4.334179,4.86304,4.8669124
1,2,4.2073708,4.0991535,3.981906,3.7165372,3.4334352,3.2623284,3.5761871,3.6672335,4.0677967,4.655492,4.742389
1,3,4.2707667,4.254623,4.0682364,3.7559645,3.4786682,3.2987466,3.5140786,3.6139684,4.0715904,4.614719,4.745773
1,4,4.4205093,4.3557954,4.0914116,3.844831,3.476456,3.2086399,3.421958,3.5262115,3.8699822,4.429702,4.5199313
1,5,4.498416,4.3825617,4.1311984,3.8592236,3.5411584,3.2441525,3.518758,3.6100054,3.9509766,4.515032,4.6951737
1,6,4.737808,4.6561294,4.384409,4.093764,3.703154,3.3724065,3.6716661,3.6280193,4.0512576,4.630823,4.800924
1,7,5.0504656,4.7971926,4.359152,3.9015372,3.2095513,2.8457947,3.1028416,3.0687342,3.5095696,4.0708284,4.2855425
1,8,4.862936,4.6277027,4.2296658,3.7218204,3.0046067,2.6287625,2.8359997,2.9124672,3.427543,3.9795659,4.244223
1,9,4.5771356,4.316285,3.9853415,3.4170692,2.773173,2.4703953,2.5649052,2.6351717,3.211285,3.7298036,4.0258837
1,10,4.559925,4.2613955,3.7966173,3.1073017,2.4245667,2.1347435,2.2873223,2.3335905,2.869832,3.335691,3.7079308
1,11,4.1964846,3.9159698,3.492077,2.8189855,2.0846884,1.8787832,2.1366858,2.139115,2.737008,3.1646428,3.5775595
1,12,3.9267423,3.664495,3.1899972,2.4598107,1.6050968,1.4253633,1.5804594,1.6607237,2.273625,2.6700723,3.050838
1,13,3.5058346,3.2063942,2.7043695,1.9896426,1.2944119,1.1345298,1.2317863,1.3460667,2.0167146,2.4482846,2.8635542
1,14,2.5898075,2.5633974,2.2060595,1.5985248,0.987865,0.85854125,0.9806068,1.1256733,1.8015895,2.3497448,2.7602055
1,15,2.6859431,2.452468,2.0248418,1.3939116,0.64987016,0.44998288,0.50083256,0.5399525,1.2655034,1.8205276,2.1777024
1,16,2.3910012,2.1479368,1.6164284,1.0135088,0.17983818,0.0060720444,0.030194998,0.046084404,0.8699851,1.432322,1.7835517
1,17,1.5408392,1.3218503,0.85886526,0.36101437,-0.5171206,-0.5328429,-0.5771713,-0.56029797,0.31045008,0.8761785,1.2411323
