Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.7135794,3.6222188,3.5287404,3.4485474,3.3596778,3.3677928,3.4852898,3.7245045,3.8924508,4.5237865,4.5753427
1,2,3.5196064,3.5338748,3.4562733,3.4006782,3.333856,3.374863,3.489538,3.7300465,3.9171076,4.5288754,4.5606503
1,3,3.488914,3.4714255,3.3790512,3.321928,3.2559445,3.2949069,3.405857,3.6763647,3.8680832,4.4952364,4.548372
1,4,3.4299693,3.424666,3.3734255,3.3426867,3.2674196,3.3424003,3.4255946,3.7549675,3.9287245,4.5173945,4.5668874
1,5,3.2763512,3.2748072,3.2341237,3.238052,3.2088785,3.2642443,3.3804455,3.7638035,3.9775438,4.516571,4.5580497
1,6,3.1656747,3.1302402,3.0651903,3.054871,3.0185518,3.0701783,3.1724954,3.583064,3.8580313,4.434063,4.49163
1,7,2.951228,2.9787326,2.9483502,2.9537375,2.9756668,3.0434608,3.133472,3.5714993,3.7923217,4.3448033,4.3826423
1,8,2.794025,2.9085073,2.8973105,2.887598,2.9442823,2.9878635,3.1330554,3.5915413,3.8414843,4.438926,4.50738
1,9,2.7391467,2.7717526,2.7411976,2.7087564,2.6665914,2.6875193,2.9276638,3.4407668,3.7767692,4.478028,4.5484877
1,10,2.3567886,2.4756012,2.4796925,2.4905007,2.444866,2.4823365,2.7208145,3.2362218,3.5618553,4.2999487,4.357782
1,11,2.0181577,2.2539835,2.2959967,2.310654,2.3263388,2.3402197,2.5941606,3.1327896,3.482922,4.2917886,4.324089
1,12,2.1386962,2.2559438,2.2865705,2.2909942,2.3148265,2.3636856,2.60848,3.1356735,3.515625,4.3030963,4.370943
1,13,1.9950747,2.1517744,2.1966789,2.229459,2.3006725,2.3390603,2.6014438,3.1061187,3.4679427,4.2434387,4.309078
1,14,1.7729125,2.0738177,2.1313586,2.208976,2.3455157,2.4057133,2.6671848,3.149616,3.5334113,4.2906203,4.3829603
1,15,1.9351972,2.099631,2.1134162,2.1878505,2.2827146,2.2872021,2.4974446,2.988815,3.3961232,4.195031,4.3376136
1,16,1.8089175,1.9607818,2.0087805,2.0567641,2.0671859,2.104836,2.3832588,2.8930297,3.3092847,4.1327744,4.2697845
1,17,1.4948368,1.7452402,1.8346121,1.9281174,1.883318,1.9051987,2.2893753,2.8001502,3.3116977,4.130725,4.273237
1,18,1.2952518,1.5698624,1.6694422,1.7864486,1.798348,1.8296994,2.2199416,2.7609944,3.2213428,4.113656,4.2606134
1,19,1.130085,1.3952718,1.4965098,1.6059599,1.640619,1.7084198,2.09129,2.624429,3.083685,3.9632785,4.1059437
1,20,0.9162667,1.3060937,1.4314237,1.5601288,1.6003193,1.6991954,2.1302614,2.7173405,3.241154,4.130033,4.2147427
1,21,0.8600466,1.208411,1.2982054,1.4137554,1.404495,1.4863105,1.8614527,2.5026455,3.0089235,3.9564636,4.085779
1,22,0.8371341,1.1660795,1.2297015,1.3266475,1.3681176,1.4472349,1.7901559,2.403894,2.8932338,3.8323002,3.9855611
1,23,0.7060275,1.134263,1.218776,1.3586566,1.4486499,1.550199,1.9139905,2.5613637,3.1011047,4.015625,4.120848
1,24,0.7723174,1.119631,1.2053227,1.3221059,1.3981855,1.5058106,1.8822563,2.5778894,3.1602454,4.08414,4.212868
1,25,0.7543516,1.0483775,1.1160846,1.2102704,1.2560587,1.3613017,1.7210505,2.3987021,2.9680305,3.9054418,4.061386
1,26,0.54736733,0.9178133,1.0176637,1.0983019,1.1414142,1.2581933,1.6481087,2.2544236,2.8372626,3.7996664,3.9380972
1,27,0.24721241,0.7265668,0.8503864,0.95707154,1.093729,1.229836,1.6895714,2.3699791,2.9977455,4.0362163,4.1568756
1,28,0.34353256,0.71974254,0.80716133,0.88977575,0.9619174,1.0810096,1.5665321,2.2750137,2.8619401,3.9005141,4.052914
1,29,0.21741581,0.64012456,0.7186835,0.7668178,0.85862803,0.91599846,1.3659694,2.054951,2.6713185,3.7207167,3.8705158
1,30,0.075348616,0.53570414,0.65115905,0.7662883,0.86398554,0.9598484,1.3497367,2.050362,2.7031667,3.8268745,3.9868493
1,31,0.24121046,0.6204119,0.71229386,0.83492446,0.96789527,1.1144981,1.5235021,2.219627,2.838543,3.9518564,4.0891833
1,32,0.27064657,0.6298051,0.707422,0.82038903,0.91436625,1.1420693,1.5626211,2.2752094,2.8935378,3.9955263,4.1651077
1,33,0.355088,0.70481634,0.762141,0.8808675,0.94162965,1.2053025,1.6124353,2.3368726,2.9841704,4.1166296,4.331101
