Model,Regime,Maturity,N scen,Initial yield,Mean (t=60),Std  (t=60),Drift,IQR  (t=60)
Diffusion,High-rate (2002),3M,200,1.6167,4.2445,1.5188,2.6278,2.0916
Diffusion,High-rate (2002),2Y,200,2.5633,4.8789,1.4705,2.3156,1.8304
Diffusion,High-rate (2002),10Y,200,4.5567,5.3784,1.747,0.8217,2.5031
Diffusion,Medium-rate (2015),3M,200,0.06,1.5328,0.7881,1.4728,1.1141
Diffusion,Medium-rate (2015),2Y,200,0.6908,2.5872,0.8948,1.8964,1.2234
Diffusion,Medium-rate (2015),10Y,200,2.1042,3.7826,1.1895,1.6784,1.6808
Diffusion,Low-rate (2018),3M,200,2.005,1.6437,1.1929,-0.3613,1.491
Diffusion,Low-rate (2018),2Y,200,2.5267,1.0245,1.1559,-1.5022,1.5217
Diffusion,Low-rate (2018),10Y,200,2.89,1.6601,1.3346,-1.2299,1.9091
HJM-PCA,High-rate (2002),3M,200,1.6167,4.8476,2.0408,3.2309,2.7803
HJM-PCA,High-rate (2002),2Y,200,2.5633,5.2021,2.1603,2.6388,2.9393
HJM-PCA,High-rate (2002),10Y,200,4.5567,5.8392,2.0013,1.2825,2.6238
HJM-PCA,Medium-rate (2015),3M,200,0.06,2.2756,2.0846,2.2156,2.8397
HJM-PCA,Medium-rate (2015),2Y,200,0.6908,2.5063,2.2314,1.8155,3.14
HJM-PCA,Medium-rate (2015),10Y,200,2.1042,2.9581,2.1645,0.8539,3.0405
HJM-PCA,Low-rate (2018),3M,200,2.005,3.0885,1.9094,1.0835,2.6127
HJM-PCA,Low-rate (2018),2Y,200,2.5267,3.1373,2.0937,0.6106,3.0005
HJM-PCA,Low-rate (2018),10Y,200,2.89,3.3124,2.1021,0.4224,2.841
