Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.301993,3.6272666,3.7353492,3.4236217,3.4970288,3.3938603,3.4528356,3.7001545,3.9632375,4.543117,4.5780134
1,2,3.0732002,3.6253977,3.616087,3.562581,3.4211974,3.3239057,3.1023235,3.4588592,3.7661924,4.3156314,4.2855597
1,3,3.1116717,3.5487795,3.792616,3.6088426,3.3116446,3.082882,2.9147673,3.2055163,3.3733687,4.091934,3.8686957
1,4,3.1783345,3.8218439,3.5297716,3.5192149,3.2011302,2.8086052,2.6940682,2.968032,3.0019512,3.750064,3.472085
1,5,3.2941954,3.778023,3.709851,3.6482227,3.3110723,2.7341616,2.8074539,2.697648,2.896527,3.4214067,3.2248912
1,6,3.5711467,3.851728,3.973945,3.551551,3.202076,2.8428454,2.7493796,2.3584108,2.7520933,3.1722405,2.8801353
1,7,3.7187681,3.7253392,4.0106435,3.7493873,3.5121076,3.16457,2.8675227,2.2404113,2.568132,2.9111505,2.60406
1,8,4.181636,3.7830012,4.17806,4.0583725,3.6096244,3.2428687,2.8902261,2.2169242,2.5156655,2.697255,2.2626085
1,9,4.5597463,3.8734915,4.358777,4.430011,3.8349452,3.48119,3.0510428,2.2160103,2.5466545,2.4968977,2.010995
1,10,4.6282887,4.670486,4.7466555,4.8808765,4.150528,3.6223853,3.0317674,2.4027367,2.541935,2.3293464,1.8518481
1,11,4.989879,4.9615917,5.2342997,5.2434883,4.0771046,3.8633862,3.1440604,2.5650985,2.5783367,2.2335744,1.6742935
1,12,5.527444,5.285083,5.7508335,5.4636545,4.4333615,3.9476154,3.2803361,2.5818295,2.5517898,2.1496081,1.4953737
1,13,5.8309307,5.686022,5.8803387,5.9445553,4.515915,4.1639915,3.3490105,2.412884,2.5882678,1.9952323,1.1843624
1,14,6.0077324,6.1016536,6.3711343,6.384836,4.7574863,4.4086123,3.4094276,2.2931135,2.4724705,1.8992479,0.90302205
1,15,6.35958,6.620228,6.936488,6.4716654,4.6204767,4.2231035,3.3267035,2.3135295,2.281409,1.7156119,0.6778331
1,16,6.732159,7.200456,7.1317415,6.606267,4.8144774,4.3748627,3.3226922,2.36984,2.2697084,1.6351151,0.4597063
1,17,7.3712687,7.5542583,7.364196,6.9474697,4.6263123,4.262016,3.3569343,2.3125525,2.2201207,1.4486351,0.30664873
1,18,8.334414,7.7766757,7.587949,7.2835608,4.8249083,4.280924,3.3150916,2.3955247,2.2908778,1.4951935,0.21840334
1,19,8.695225,7.8327875,8.1790495,7.142846,4.9664755,4.3393497,3.4139562,2.4649777,2.4949925,1.5267885,0.13489151
1,20,8.897235,8.222396,8.19994,7.3918343,5.204643,4.431717,3.4043097,2.5697174,2.5283897,1.484216,0.088478565
1,21,9.353228,8.588757,8.691223,7.5345106,5.029415,4.3627024,3.4847205,2.571116,2.4619427,1.566494,-0.00967741
1,22,9.369268,8.803265,8.824055,7.954547,4.7314434,4.3292065,3.6119788,2.5120993,2.6302786,1.5590935,-0.15922499
1,23,9.751041,8.881289,8.810799,8.021594,4.582059,4.1688166,3.643999,2.5743308,2.4951782,1.5270765,-0.21257591
1,24,9.984173,9.194237,8.508498,7.9184837,4.4665065,4.0942383,3.5993226,2.5928004,2.5170135,1.5498929,-0.3376398
1,25,10.03187,9.136534,8.771149,7.7306213,4.2755003,3.7712734,3.5096676,2.6228797,2.5422244,1.5583036,-0.46559906
1,26,9.993156,9.000767,8.613208,7.5821266,3.745623,3.3283958,3.6564693,2.4331017,2.5103467,1.398133,-0.5446315
1,27,9.819253,8.750498,8.322227,7.295581,3.412166,3.0123153,3.335896,2.2183213,2.4472828,1.4523444,-0.6047149
1,28,9.501131,8.257131,7.7241707,6.751553,3.1951954,2.554725,2.95568,2.0214672,2.200983,1.3397145,-0.68142414
