Scenario_ID,Month,Date,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,2026-03-31,3.4492555,3.4278557,3.4486918,3.2088358,3.220158,3.2511847,3.4889271,3.684073,3.8763826,4.4780064,4.5603228
1,2,2026-04-30,2.9730392,3.011125,3.1054854,2.937258,2.941117,2.9416337,3.2032633,3.3925555,3.7208776,4.3517895,4.384578
1,3,2026-05-31,2.43073,2.4924994,2.528795,2.4004765,2.5255117,2.670758,2.7965183,3.0764604,3.4535406,4.15115,4.181031
1,4,2026-06-30,1.5721338,1.6931605,1.7638091,1.7188721,1.8979607,2.200948,2.3962252,2.7055488,3.1455564,3.9172068,3.9607592
1,5,2026-07-31,0.64826775,0.84646606,1.0557129,0.92372847,1.3160849,1.533613,1.9253669,2.2635636,2.8200386,3.6306248,3.6753697
1,6,2026-08-31,-0.28558612,-0.13932228,0.16735864,-0.020827532,0.5113592,0.8585117,1.3528628,1.7781787,2.4059324,3.2774215,3.3977766
1,7,2026-09-30,-1.4615114,-1.1630869,-0.9911659,-1.0667164,-0.42810154,0.070148945,0.65826464,1.1657729,1.9314823,2.9444437,3.07101
1,8,2026-10-31,-2.8968947,-2.5176263,-2.2818267,-2.3616464,-1.5208344,-0.811615,-0.05173397,0.5476873,1.382236,2.591499,2.7202497
1,9,2026-11-30,-4.3941784,-3.9735498,-3.6871054,-3.5642087,-2.6647491,-1.6846886,-0.91974306,-0.04024291,0.8795006,2.2091699,2.4509587
1,10,2026-12-31,-6.2431097,-5.5509505,-5.103945,-5.067034,-3.9233737,-2.701542,-1.750566,-0.69572353,0.33784628,1.8042507,2.1445289
1,11,2027-01-31,-8.345844,-7.3425546,-6.854267,-6.512577,-5.129087,-3.779871,-2.6597028,-1.4334211,-0.21624184,1.3445144,1.7294502
1,12,2027-02-28,-10.452205,-9.287342,-8.710524,-8.279174,-6.60646,-5.112543,-3.754902,-2.3230166,-0.8081441,0.8665881,1.2794375
1,13,2027-03-31,-12.729854,-11.50448,-10.772208,-9.996854,-8.166021,-6.649663,-4.952105,-3.258267,-1.5403686,0.29613256,0.79347897
1,14,2027-04-30,-15.039601,-13.63578,-12.914695,-12.078539,-9.942873,-8.237692,-6.194494,-4.309137,-2.329154,-0.2611637,0.263721
1,15,2027-05-31,-17.37822,-16.168764,-15.144895,-14.137096,-11.840818,-9.949134,-7.35428,-5.3849387,-3.158616,-0.8704586,-0.3125906
1,16,2027-06-30,-19.889256,-18.711487,-17.551086,-16.234324,-13.671614,-11.679761,-8.801123,-6.529672,-4.05921,-1.5159016,-0.9410205
1,17,2027-07-31,-22.49174,-21.492619,-20.170265,-18.533144,-15.818214,-13.437141,-10.289352,-7.6699967,-5.0085783,-2.105267,-1.5377178
1,18,2027-08-31,-25.151903,-24.28213,-22.855457,-20.990204,-18.030476,-15.328047,-11.853439,-8.852661,-5.891407,-2.767396,-2.18053
1,19,2027-09-30,-27.96528,-27.161667,-25.600168,-23.56489,-20.280437,-17.212742,-13.43265,-10.109331,-6.8916187,-3.485073,-2.8803205
1,20,2027-10-31,-31.041754,-30.14622,-28.487278,-26.119452,-22.445938,-19.185804,-14.964382,-11.276684,-7.948599,-4.13904,-3.5646024
1,21,2027-11-30,-34.33047,-33.187576,-31.319592,-28.801111,-24.77647,-21.186869,-16.514618,-12.557705,-8.962604,-4.8623524,-4.278381
1,22,2027-12-31,-37.505386,-36.369427,-34.279545,-31.579725,-27.137074,-23.350607,-18.079714,-13.955124,-10.073971,-5.6212463,-4.9797816
1,23,2028-01-31,-40.745193,-39.59364,-37.38313,-34.37924,-29.519997,-25.509062,-19.789125,-15.338676,-11.157402,-6.362031,-5.716477
1,24,2028-02-29,-44.031548,-42.820152,-40.663673,-37.114494,-32.100483,-27.646305,-21.348475,-16.635773,-12.205252,-7.1218233,-6.487374
1,25,2028-03-31,-47.29481,-46.13082,-43.789745,-39.98923,-34.616524,-29.780025,-23.051323,-18.007027,-13.254988,-7.89995,-7.210336
1,26,2028-04-30,-50.871857,-49.49379,-47.00256,-43.12381,-37.163803,-32.00364,-24.749294,-19.242197,-14.306456,-8.67254,-7.9322324
1,27,2028-05-31,-54.310192,-52.863377,-50.199978,-45.925716,-39.72805,-34.09837,-26.367071,-20.532894,-15.344984,-9.438408,-8.599537
1,28,2028-06-30,-57.676826,-56.172905,-53.325363,-49.035854,-42.177395,-36.1448,-27.952648,-21.693016,-16.345171,-10.118621,-9.262983
1,29,2028-07-31,-61.105797,-59.388824,-56.52754,-52.125984,-44.62283,-38.34268,-29.588877,-22.926361,-17.353703,-10.861367,-9.887032
1,30,2028-08-31,-64.51365,-62.573254,-59.850845,-55.193993,-47.180695,-40.50984,-31.224276,-24.22487,-18.384632,-11.556419,-10.457926
1,31,2028-09-30,-67.83568,-65.855675,-62.910973,-58.17221,-49.67791,-42.66979,-32.882946,-25.413622,-19.376862,-12.255411,-11.03425
1,32,2028-10-31,-71.24392,-69.448105,-66.26889,-61.180935,-52.15205,-44.869507,-34.523396,-26.706814,-20.375368,-13.001677,-11.639343
1,33,2028-11-30,-74.42271,-72.73828,-69.39417,-64.21468,-54.60159,-47.1848,-36.22621,-27.996834,-21.408009,-13.688707,-12.265875
1,34,2028-12-31,-77.574814,-76.08008,-72.55118,-67.13199,-57.2534,-49.290596,-37.85399,-29.194216,-22.393703,-14.410023,-12.830885
1,35,2029-01-31,-80.835655,-79.315575,-75.566185,-70.13093,-59.770485,-51.48633,-39.539413,-30.438997,-23.328455,-15.06612,-13.4247875
1,36,2029-02-28,-83.946884,-82.34859,-78.73385,-73.107666,-62.14915,-53.729206,-41.215813,-31.752684,-24.38785,-15.776703,-14.014698
1,37,2029-03-31,-86.96292,-85.26044,-81.91897,-76.07527,-64.58504,-55.91651,-42.81647,-32.996857,-25.411354,-16.450233,-14.554522
1,38,2029-04-30,-89.96955,-88.30194,-84.838295,-78.93299,-67.117805,-58.059067,-44.481102,-34.267254,-26.352266,-17.124973,-15.075521
1,39,2029-05-31,-92.940765,-91.21278,-87.88878,-81.86249,-69.59598,-60.249664,-46.17908,-35.475292,-27.324127,-17.829378,-15.596407
1,40,2029-06-30,-95.869835,-94.21248,-90.881874,-84.71615,-72.13351,-62.520325,-47.902737,-36.782433,-28.355402,-18.508757,-16.129211
1,41,2029-07-31,-98.93111,-97.16426,-93.80105,-87.621216,-74.61319,-64.68241,-49.57811,-38.176994,-29.408953,-19.229406,-16.659872
1,42,2029-08-31,-101.98998,-100.07893,-96.86806,-90.45574,-77.10049,-66.94919,-51.30449,-39.54752,-30.473528,-19.976559,-17.165462
1,43,2029-09-30,-105.03724,-102.86222,-99.83463,-93.38327,-79.57683,-69.24603,-53.103836,-40.946835,-31.448359,-20.728062,-17.682287
1,44,2029-10-31,-107.83534,-105.73912,-102.94195,-96.0366,-82.070305,-71.46762,-54.776928,-42.375362,-32.462402,-21.442425,-18.189913
1,45,2029-11-30,-110.639435,-108.60843,-105.61048,-98.964355,-84.53558,-73.682526,-56.475792,-43.737034,-33.517197,-22.212479,-18.741568
1,46,2029-12-31,-113.401855,-111.590866,-108.49476,-101.73607,-87.0697,-75.916046,-58.288067,-45.2154,-34.655304,-23.090607,-19.325459
1,47,2030-01-31,-116.181435,-114.4742,-111.36336,-104.38969,-89.611115,-78.16123,-60.18387,-46.701344,-35.774933,-23.99289,-20.004623
1,48,2030-02-28,-119.017525,-117.4236,-114.25376,-107.21291,-92.10656,-80.46083,-62.043045,-48.224396,-36.982735,-24.91706,-20.725807
1,49,2030-03-31,-121.95121,-120.344864,-117.04476,-110.0491,-94.78334,-82.82633,-63.93373,-49.769905,-38.22573,-25.88148,-21.487726
1,50,2030-04-30,-124.75331,-123.32246,-120.14188,-112.84188,-97.44089,-85.17881,-65.87885,-51.39115,-39.594177,-26.938606,-22.257927
1,51,2030-05-31,-127.61499,-126.1342,-123.22066,-115.671234,-100.1736,-87.55292,-67.81796,-53.039253,-40.978615,-28.005852,-23.094807
1,52,2030-06-30,-130.40437,-128.90137,-126.10182,-118.39888,-102.71186,-89.99661,-69.85887,-54.79636,-42.36682,-29.203735,-23.96564
1,53,2030-07-31,-133.22137,-131.9726,-129.00255,-121.16924,-105.30731,-92.47462,-72.01115,-56.557114,-43.81186,-30.400368,-24.88476
1,54,2030-08-31,-136.14064,-134.8291,-131.93729,-123.96806,-107.76877,-95.01493,-74.307594,-58.516083,-45.361908,-31.622795,-25.935614
1,55,2030-09-30,-139.07619,-137.66347,-135.01994,-126.71575,-110.362915,-97.48273,-76.57297,-60.361824,-47.002403,-32.938618,-26.994892
1,56,2030-10-31,-141.98463,-140.63507,-138.0264,-129.45625,-113.06072,-100.0084,-78.8346,-62.301582,-48.68569,-34.31866,-28.120218
1,57,2030-11-30,-144.86687,-143.38506,-141.00284,-132.34048,-115.79366,-102.57205,-81.09963,-64.45229,-50.531616,-35.80075,-29.359896
1,58,2030-12-31,-147.69406,-146.22118,-143.83008,-135.2103,-118.575676,-105.27459,-83.531555,-66.579605,-52.347168,-37.273724,-30.592607
1,59,2031-01-31,-150.65308,-149.23663,-146.7841,-137.85707,-121.32143,-107.97024,-86.018585,-68.81284,-54.16703,-38.82142,-31.864809
1,60,2031-02-28,-153.54489,-152.3543,-149.76483,-140.72807,-124.11452,-110.67669,-88.59424,-71.106316,-56.03927,-40.479053,-33.145313
2,1,2026-03-31,3.5048337,3.4992726,3.4820056,3.262973,3.2975202,3.288651,3.4952629,3.6813056,3.8606617,4.483935,4.5549507
2,2,2026-04-30,3.16762,3.2087562,3.2483418,3.1654441,3.1188853,3.055128,3.27034,3.4688537,3.748982,4.3785844,4.391333
