Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.864271,3.7655356,3.6783006,3.6266224,3.6499217,3.6275651,3.7968812,3.8968687,4.230267,4.817412,4.9308333
1,2,3.709443,3.679192,3.5888698,3.4820802,3.432377,3.446457,3.6131663,3.7373497,4.103053,4.6885357,4.860107
1,3,3.76501,3.6666255,3.5787928,3.4559944,3.3966153,3.3756166,3.5537205,3.7093987,4.1149645,4.7057066,4.918035
1,4,3.7612987,3.7232516,3.6129832,3.5145717,3.5036108,3.503254,3.6877036,3.8000162,4.1680727,4.795265,5.0116086
1,5,3.7395232,3.6921294,3.5869973,3.4673939,3.419191,3.4612825,3.6430404,3.7462327,4.0354586,4.532223,4.721908
1,6,3.7899277,3.6428714,3.5104759,3.4529765,3.4258916,3.498919,3.8218453,4.0601883,4.4737253,5.050668,5.2558904
1,7,3.690838,3.52857,3.501577,3.4533963,3.542255,3.5713835,3.7869205,4.050281,4.4805017,5.104124,5.3750334
1,8,3.5931494,3.4593031,3.3972154,3.3050404,3.2960505,3.298354,3.4807928,3.6830032,4.0859795,4.6896453,5.0538936
1,9,3.2898755,3.1793413,3.0289073,2.8444679,2.734433,2.685559,2.9091272,3.2180138,3.7186575,4.3793178,4.729176
1,10,3.3109787,3.223933,3.0510864,2.7405615,2.5827184,2.4978113,2.6724484,2.9618542,3.409037,4.003987,4.335361
1,11,3.516275,3.2306194,2.9890978,2.593738,2.3249884,2.1348574,2.3965971,2.7829063,3.319397,3.9614103,4.2980037
1,12,3.2159622,3.1003046,2.8174725,2.3105047,1.8923646,1.5604422,1.7546389,2.1088893,2.7478886,3.4803226,3.8472643
1,13,3.310089,3.0590706,2.7979288,2.3016744,1.8792685,1.4174442,1.4376385,1.6985726,2.233583,3.048717,3.4133778
1,14,3.2461073,3.0181737,2.7271066,2.231084,1.8828882,1.4887156,1.5296743,1.6569209,2.226443,3.1207042,3.5392675
1,15,3.1918561,2.9962955,2.6609921,2.153751,1.7925401,1.4459581,1.5810509,1.7600024,2.2786775,3.0552084,3.578164
1,16,3.2779613,3.0317128,2.7247143,2.228882,1.834226,1.480798,1.5915754,1.7385299,2.2092862,2.9578514,3.4240985
1,17,3.259655,3.097645,2.7691116,2.2959228,1.9643579,1.584897,1.687775,1.8102453,2.27836,3.0007987,3.466665
1,18,3.3192143,3.170699,2.8094053,2.3375463,1.9881773,1.5593047,1.6017303,1.7265441,2.199729,2.938054,3.4063222
1,19,3.4798422,3.2216163,2.9037993,2.4591537,2.1056485,1.6635553,1.6722558,1.7277234,2.1567698,2.8833447,3.2783575
1,20,3.4145143,3.2359266,2.9397283,2.524964,2.210433,1.7610931,1.731929,1.7423117,2.1408272,2.8454614,3.2332335
1,21,3.3174815,3.2070239,2.9317787,2.5407245,2.230357,1.7841758,1.7506928,1.7613511,2.1645694,2.846184,3.271455
1,22,3.4502196,3.2459064,2.9370112,2.5348158,2.1869526,1.7262399,1.6647644,1.6726313,2.1085992,2.8255334,3.236553
1,23,3.4974496,3.3602111,3.043396,2.586375,2.2463565,1.7590343,1.6625963,1.6397536,2.100993,2.8145964,3.2408977
1,24,3.3716364,3.2379985,2.986189,2.5449686,2.1804175,1.6803977,1.588058,1.5829604,2.0441384,2.7345817,3.1210866
1,25,3.1171174,3.1776814,2.9032075,2.447714,2.1056519,1.6039073,1.5129256,1.538389,2.0145404,2.6824927,3.0838666
1,26,3.3256128,3.1957061,2.8982933,2.4262073,2.0526357,1.5662011,1.4792244,1.4710989,1.885185,2.5424926,2.8635304
1,27,3.3527677,3.0905302,2.8333044,2.3618693,1.9802674,1.5048118,1.4450259,1.4435542,1.8549078,2.468457,2.8226283
1,28,2.8789248,2.9517493,2.7107146,2.2563057,1.9239289,1.4802082,1.4841685,1.5443919,1.97784,2.5879583,2.9111009
1,29,2.7335975,2.5846019,2.4246633,2.0022936,1.6584138,1.288893,1.340389,1.464443,1.9373012,2.6109278,2.9268658
1,30,2.599092,2.4711347,2.2750387,1.7771845,1.4424362,1.0758595,1.1746418,1.3118725,1.7983189,2.4765053,2.851906
1,31,2.5890286,2.5068264,2.2514548,1.7527673,1.3638449,1.0103958,1.1083272,1.2271099,1.7229698,2.3849406,2.7467344
1,32,2.7275047,2.6553478,2.3984663,1.9287171,1.5463126,1.1672378,1.208219,1.26455,1.7160175,2.33102,2.6935382
1,33,2.9734497,2.7924423,2.557745,2.0430765,1.6803174,1.2895737,1.2974854,1.2793026,1.6502564,2.2344973,2.5772758
1,34,2.9073334,2.8157852,2.583288,2.0737252,1.6429088,1.2060485,1.1882608,1.1365571,1.5200076,2.1399796,2.48423
1,35,3.0230517,2.9063232,2.6194837,2.0908833,1.6266767,1.1356819,1.0325332,0.9022889,1.2007744,1.7725451,2.1083717
1,36,3.2537484,3.08852,2.7819476,2.2547703,1.7993915,1.3218396,1.2382951,1.15313,1.501709,2.0906472,2.3647068
1,37,3.2949471,3.282627,3.0193686,2.4519958,1.9751415,1.4251518,1.2962923,1.2168875,1.5802739,2.183145,2.4473324
1,38,3.4137552,3.4221501,3.1134558,2.5428045,2.0730882,1.507937,1.3708279,1.2474432,1.5641019,2.2153153,2.5297327
1,39,3.7685652,3.6063347,3.3442245,2.7473493,2.3588376,1.828395,1.7409611,1.6446915,2.007993,2.6345751,2.8730066
1,40,3.718179,3.6306977,3.3748643,2.7818663,2.3873544,1.8722279,1.7907351,1.7021148,2.037813,2.5883603,2.8375397
1,41,3.9103699,3.7278428,3.4102535,2.7811644,2.31963,1.7841704,1.6830769,1.6382742,1.9900637,2.5390975,2.8280683
1,42,3.9857914,3.7195385,3.4231405,2.7794902,2.3000064,1.7498903,1.6216757,1.5788028,1.9014416,2.4327214,2.7037604
1,43,3.7964334,3.6263235,3.3036351,2.6557703,2.1521316,1.597649,1.4725366,1.4591031,1.826978,2.3942752,2.6969612
1,44,3.9084048,3.6492796,3.2960804,2.6658952,2.1770015,1.6538007,1.5473068,1.5294895,1.8575392,2.4202287,2.7078052
1,45,3.9077082,3.601108,3.2679825,2.6732857,2.209655,1.7551025,1.6441386,1.542083,1.775208,2.268577,2.5324485
1,46,3.8536606,3.5648525,3.1744397,2.4979982,1.9803109,1.376524,1.2754035,1.2207744,1.5226073,2.0979931,2.3764668
1,47,3.7024603,3.419016,2.9614573,2.1746547,1.4380555,0.6204355,0.36059666,0.34615445,0.874496,1.5891361,1.9812305
1,48,3.6741722,3.3566298,2.8953106,2.1536937,1.4085875,0.47594166,0.023163795,-0.17928553,0.2626896,1.0435503,1.4637408
1,49,3.6623316,3.3647785,2.9143682,2.1560135,1.4581163,0.594538,0.16142058,-0.19991684,0.09411144,0.8187001,1.3351192
1,50,3.6735904,3.364094,2.9337509,2.0798655,1.2670636,0.29894876,-0.1297872,-0.4903736,-0.27198982,0.3613143,0.84794354
1,51,3.7883344,3.41039,2.9478803,2.1334045,1.3726192,0.41498804,-0.041694164,-0.29462576,0.07530403,0.79226017,1.2781
1,52,3.6840177,3.2540123,2.8512046,2.0190911,1.250071,0.34426618,-0.12743664,-0.32834387,-0.011983395,0.80542374,1.3275931
1,53,3.2962337,3.262436,2.842388,1.9851799,1.2084601,0.29733157,-0.13129807,-0.34750748,-0.06049013,0.71580887,1.2998111
1,54,3.6871219,3.3968801,2.8578467,2.0975156,1.3477674,0.46381068,0.09588909,-0.05974102,0.24620914,0.917922,1.4514725
1,55,3.7261224,3.3570518,2.8801847,2.1064153,1.3992519,0.5715251,0.17635226,-0.024533987,0.2773559,0.9227781,1.4295597
1,56,3.6165428,3.4304476,2.9138703,2.1027832,1.3945963,0.5347545,0.111189604,-0.1630354,0.08978915,0.6892967,1.1956139
1,57,3.6632357,3.4874272,2.8760154,2.077456,1.3081684,0.38247085,-0.06915021,-0.36091375,-0.12434006,0.45943213,0.9498701
1,58,3.6425204,3.35562,2.7933106,1.9838604,1.1938279,0.2870543,-0.20466661,-0.53738785,-0.28106594,0.3281088,0.8474324
1,59,3.5383708,3.3771877,2.8063211,1.9801683,1.2008629,0.26253724,-0.2071979,-0.5491533,-0.32668066,0.23518562,0.715682
1,60,3.7512176,3.494396,2.7891603,1.986588,1.1065829,0.18640184,-0.40748882,-0.5751033,-0.2871914,0.3652072,0.87414694
2,1,3.6385596,3.5981119,3.5704195,3.3725317,3.5409868,3.6908798,3.6270542,3.6720943,4.01258,4.499506,4.6224318
2,2,3.6617227,3.6162674,3.5612288,3.297912,3.3487043,3.4860861,3.475119,3.6192985,3.9918056,4.532368,4.6748466
2,3,3.591695,3.5386977,3.5335774,3.3129835,3.3554623,3.4870906,3.4603608,3.7300224,4.1284723,4.687518,4.834496
2,4,3.4537177,3.2542157,3.0705094,2.6691673,2.7227097,2.9514537,2.976521,3.2814298,3.8140712,4.4547606,4.6467175
2,5,3.2990613,3.1400135,2.8812318,2.3802004,2.2247696,2.4637434,2.4884706,2.7940102,3.2919526,3.9440947,4.1832047
2,6,3.2410734,3.0711775,2.78439,2.282501,2.0558758,2.2775824,2.3430407,2.6878722,3.2294126,3.911147,4.194255
2,7,3.182828,2.9712498,2.6341655,2.112706,1.8988715,2.0301547,2.0023227,2.4572744,3.125438,3.839194,4.0935545
2,8,3.1850421,2.975841,2.6732392,2.238235,2.15279,2.3734305,2.3968594,2.7819986,3.4359999,4.115008,4.3452263
2,9,3.136214,2.9179559,2.6220577,2.1561368,2.0996742,2.4265416,2.5237184,2.90645,3.5327582,4.2212806,4.4437213
2,10,2.96031,2.9118314,2.6184149,2.130483,2.0504608,2.293547,2.3584752,2.7496212,3.3828015,4.0675516,4.283869
