Model,Category,Factor,Normal (%),Tail (%),Unrealistic (%)
Diffusion,Shape-based (β levels),Level β1,84.53,9.36,6.11
Diffusion,Shape-based (β levels),Slope β2,70.11,12.33,17.56
Diffusion,Shape-based (β levels),Curvature β3,56.97,10.45,32.58
Diffusion,Dynamic (Δβ moves),ΔLevel β1,86.59,13.06,0.35
Diffusion,Dynamic (Δβ moves),ΔSlope β2,88.69,9.68,1.64
Diffusion,Dynamic (Δβ moves),ΔCurvature β3,86.45,12.17,1.38
HJM-PCA,Shape-based (β levels),Level β1,67.63,12.65,19.72
HJM-PCA,Shape-based (β levels),Slope β2,86.79,7.39,5.82
HJM-PCA,Shape-based (β levels),Curvature β3,78.75,8.18,13.08
HJM-PCA,Dynamic (Δβ moves),ΔLevel β1,86.94,13.04,0.02
HJM-PCA,Dynamic (Δβ moves),ΔSlope β2,87.36,11.91,0.73
HJM-PCA,Dynamic (Δβ moves),ΔCurvature β3,87.85,12.15,0.0
CANN,Shape-based (β levels),Level β1,77.93,9.85,12.22
CANN,Shape-based (β levels),Slope β2,60.12,11.92,27.95
CANN,Shape-based (β levels),Curvature β3,68.62,8.35,23.03
CANN,Dynamic (Δβ moves),ΔLevel β1,89.92,9.34,0.75
CANN,Dynamic (Δβ moves),ΔSlope β2,90.76,6.89,2.35
CANN,Dynamic (Δβ moves),ΔCurvature β3,86.67,12.36,0.97
VAE,Shape-based (β levels),Level β1,99.46,0.54,0.0
VAE,Shape-based (β levels),Slope β2,97.25,1.93,0.82
VAE,Shape-based (β levels),Curvature β3,77.97,14.87,7.17
VAE,Dynamic (Δβ moves),ΔLevel β1,96.08,3.92,0.0
VAE,Dynamic (Δβ moves),ΔSlope β2,97.23,2.73,0.04
VAE,Dynamic (Δβ moves),ΔCurvature β3,95.86,4.14,0.01
