Scenario_ID,Month,Y_1M,Y_3M,Y_6M,Y_1Y,Y_2Y,Y_3Y,Y_5Y,Y_7Y,Y_10Y,Y_20Y,Y_30Y
1,1,3.3533468,3.455729,3.5331328,3.4319704,3.2868183,3.257729,3.4974597,3.7591434,4.0753074,4.65251,4.7263565
1,2,3.5371315,3.5532434,3.6142485,3.4497347,3.2782228,3.2396824,3.5059285,3.7746224,4.093926,4.680136,4.7029324
1,3,3.319389,3.3796656,3.3430572,3.1914215,3.017531,3.024441,3.3568058,3.6536388,4.0212293,4.6285434,4.667928
1,4,3.102107,3.2158842,3.1812387,2.9903445,2.8085666,2.850101,3.215845,3.5087607,3.9312663,4.594602,4.649098
1,5,2.9472451,3.1585884,3.110492,2.9084544,2.7545738,2.8164937,3.2065718,3.5250316,3.9694304,4.640118,4.6767645
1,6,3.163908,3.1421237,3.167049,2.956101,2.7740574,2.855558,3.2358332,3.5515912,3.977362,4.6413193,4.676918
1,7,3.1534655,3.043535,3.0195541,2.8570895,2.691846,2.8121362,3.2554607,3.610344,4.073601,4.7640553,4.817636
1,8,3.0089335,3.003096,2.9425366,2.7832053,2.6177595,2.7787433,3.2657301,3.6245782,4.1028743,4.7828116,4.8292456
1,9,3.0256796,2.9707754,2.9248536,2.7143424,2.5862093,2.721766,3.2226474,3.6029837,4.1040893,4.7559986,4.780601
1,10,3.128069,3.0227728,2.9653726,2.690847,2.59327,2.7003627,3.1762292,3.5784073,4.028779,4.6443563,4.692021
1,11,3.3500772,3.0839162,2.92654,2.631198,2.4908357,2.6007457,3.0796146,3.5098882,3.9469907,4.5847793,4.615365
1,12,3.3508193,3.066002,2.9135594,2.63541,2.5019565,2.5566642,3.0534618,3.4701748,3.9213245,4.541209,4.545588
1,13,3.3023076,3.033183,2.8931835,2.6158414,2.5478678,2.6466806,3.1497455,3.5121646,3.9509454,4.5340858,4.56076
1,14,3.2698593,3.0066214,2.8523893,2.5897226,2.5032263,2.6161685,3.1302874,3.5182357,3.9422722,4.551683,4.558205
1,15,3.3075418,3.1526248,3.027421,2.8733237,2.781392,2.9490988,3.4105859,3.7534993,4.1946964,4.7691526,4.77555
1,16,3.5000095,3.2611701,3.1244464,2.992705,2.8717332,3.037083,3.5437207,3.8630784,4.232452,4.7617164,4.7632103
1,17,3.5686314,3.2499013,3.0080001,2.8747158,2.7626677,2.9227562,3.4007292,3.774797,4.164492,4.7052727,4.692604
1,18,3.41753,3.1681547,2.929707,2.7901204,2.6680565,2.843063,3.3517625,3.7249417,4.149156,4.7284107,4.7122326
1,19,3.561186,3.282455,3.015636,2.7513976,2.5520563,2.6971543,3.2178288,3.569202,4.0198293,4.6191382,4.632349
1,20,3.7485583,3.5273001,3.22525,2.9477224,2.725591,2.8236337,3.3332458,3.6485085,4.073206,4.672589,4.699724
1,21,3.9770086,3.6936538,3.3985326,3.0741677,2.9243827,2.9271798,3.3592408,3.6672482,4.089858,4.651705,4.6833897
1,22,4.0047517,3.753474,3.5623097,3.3195484,3.213543,3.3924317,3.8619702,4.0354767,4.2508683,4.7758265,4.7656384
1,23,4.0255036,3.7215312,3.590361,3.3803043,3.302715,3.4457526,3.9008117,4.059864,4.3132644,4.8291163,4.8777204
1,24,4.071473,3.7670736,3.6451607,3.3862612,3.3420944,3.3945165,3.838695,4.029264,4.3041363,4.8174634,4.7855744
1,25,4.0471067,3.7355323,3.624157,3.3203483,3.197276,3.2448077,3.6711955,3.8695796,4.1836567,4.7007804,4.6639485
1,26,3.9165988,3.6297975,3.6031306,3.3224955,3.2095807,3.2779937,3.7165532,3.942481,4.2519917,4.7657404,4.7434263
1,27,4.007579,3.644541,3.64167,3.3475773,3.2084098,3.273645,3.7230263,3.942492,4.260358,4.785536,4.7491517
1,28,4.1081357,3.6786115,3.6616054,3.318442,3.148005,3.224844,3.6422858,3.910471,4.2373624,4.748809,4.7108426
1,29,3.9116952,3.5698466,3.5966535,3.2890067,3.107432,3.2175188,3.6623333,3.953226,4.3084497,4.813619,4.800036
1,30,3.9206293,3.6052647,3.6232815,3.2846646,3.0358064,3.166389,3.6071868,3.8805008,4.242132,4.7568903,4.756838
1,31,4.0184555,3.6671252,3.6404216,3.3229492,3.031854,3.1172779,3.5561142,3.8306406,4.22523,4.746868,4.757989
1,32,3.8282554,3.5447388,3.562677,3.2572052,2.9353797,3.0763178,3.5052702,3.779801,4.177079,4.7319636,4.7921844
1,33,3.8011568,3.5218275,3.5370421,3.2912087,3.0058246,3.1109915,3.5496652,3.8068838,4.193695,4.7442393,4.7523866
